bin,E_0,E_1,N_0,N_1,S_0,S_1,W_0,W_1,count
"(0, 900]",0.024444444444444446,0.0,0.18888888888888888,0.0,0.0,0.0,0.26222222222222225,0.0011111111111111111,450.5
"(900, 1800]",0.46111111111111114,0.09222222222222222,0.3022222222222222,0.0,0.35,0.008888888888888889,0.44,0.03888888888888889,1350.5
"(1800, 2700]",0.4622222222222222,0.058888888888888886,0.5188888888888888,0.02666666666666667,0.15,0.0,0.16,0.0,2250.5
"(2700, 3600]",0.6,0.20222222222222222,0.5822222222222222,0.10111111111111111,0.35,0.027777777777777776,0.6244444444444445,0.12111111111111111,3150.5
"(3600, 4500]",0.43222222222222223,0.09777777777777778,0.6,0.025555555555555557,0.6722222222222223,0.21555555555555556,0.7922222222222223,0.28555555555555556,4050.5
"(4500, 5400]",0.5722222222222222,0.06,0.7233333333333334,0.15888888888888889,0.6877777777777778,0.2633333333333333,0.7644444444444445,0.16444444444444445,4950.5
"(5400, 6300]",0.6044444444444445,0.3411111111111111,0.7566666666666667,0.3244444444444444,0.78,0.45,0.7244444444444444,0.23444444444444446,5850.5
"(6300, 7200]",0.7122222222222222,0.6455555555555555,0.7711111111111111,0.18333333333333332,1.001111111111111,0.6511111111111111,0.9244444444444444,0.5466666666666666,6750.5
"(7200, 8100]",0.7455555555555555,0.7222222222222222,1.3777777777777778,0.5966666666666667,1.0244444444444445,0.6822222222222222,0.8011111111111111,0.37666666666666665,7650.5
"(8100, 9000]",0.8944444444444445,0.8455555555555555,1.25,0.5466666666666666,1.2044444444444444,0.8055555555555556,1.06,0.65,8550.5
"(9000, 9900]",0.78,0.71,0.9788888888888889,0.3622222222222222,1.2666666666666666,0.9033333333333333,0.9,0.6644444444444444,9450.5
"(9900, 10800]",0.7811111111111111,0.6222222222222222,1.2722222222222221,0.5622222222222222,1.5322222222222222,1.1144444444444443,1.271111111111111,1.018888888888889,10350.5
"(10800, 11700]",1.08,1.1144444444444443,1.2544444444444445,0.42333333333333334,1.1633333333333333,0.7722222222222223,1.28,1.1411111111111112,11250.5
"(11700, 12600]",1.0022222222222221,1.22,1.6011111111111112,0.6944444444444444,1.1688888888888889,0.8811111111111111,1.4777777777777779,1.0233333333333334,12150.5
"(12600, 13500]",1.1555555555555554,1.3311111111111111,1.6677777777777778,0.6622222222222223,1.6388888888888888,1.0577777777777777,1.3666666666666667,1.191111111111111,13050.5
"(13500, 14400]",0.9077777777777778,0.9877777777777778,1.7533333333333334,0.7211111111111111,1.2622222222222221,0.9111111111111111,1.04,0.6455555555555555,13950.5
"(14400, 15300]",1.1555555555555554,1.52,1.7833333333333334,0.7288888888888889,1.3022222222222222,0.9411111111111111,1.2955555555555556,0.8266666666666667,14850.5
"(15300, 16200]",0.88,1.0977777777777777,1.2344444444444445,0.3655555555555556,1.238888888888889,0.8744444444444445,1.1822222222222223,1.051111111111111,15750.5
"(16200, 17100]",1.0622222222222222,0.9666666666666667,1.8622222222222222,0.6944444444444444,1.4955555555555555,1.0277777777777777,1.4222222222222223,0.8855555555555555,16650.5
"(17100, 18000]",1.008888888888889,0.79,1.5933333333333333,0.6177777777777778,1.3566666666666667,0.9777777777777777,1.211111111111111,0.8022222222222222,17550.5
"(18000, 18900]",0.8277777777777777,0.8333333333333334,1.2155555555555555,0.4988888888888889,1.16,0.7844444444444445,1.3266666666666667,0.5122222222222222,18450.5
"(18900, 19800]",0.9277777777777778,0.7,1.3488888888888888,0.5533333333333333,0.8722222222222222,0.6211111111111111,1.0044444444444445,0.8533333333333334,19350.5
"(19800, 20700]",0.7377777777777778,0.86,1.1622222222222223,0.44666666666666666,0.88,0.6533333333333333,0.8677777777777778,0.35444444444444445,20250.5
"(20700, 21600]",0.7755555555555556,0.73,0.7977777777777778,0.1922222222222222,0.8044444444444444,0.6744444444444444,0.8655555555555555,0.44,21150.5
"(21600, 22500]",0.7488888888888889,0.7544444444444445,0.9355555555555556,0.3811111111111111,0.8455555555555555,0.6511111111111111,1.0566666666666666,0.49444444444444446,22050.5
"(22500, 23400]",0.6788888888888889,0.28888888888888886,0.8177777777777778,0.22111111111111112,0.56,0.12777777777777777,0.8833333333333333,0.20777777777777778,22950.5
"(23400, 24300]",0.5477777777777778,0.14,0.5211111111111111,0.07666666666666666,0.6233333333333333,0.29333333333333333,0.6633333333333333,0.14777777777777779,23850.5
"(24300, 25200]",0.4855555555555556,0.12,0.4766666666666667,0.03,0.5311111111111111,0.08333333333333333,0.2688888888888889,0.015555555555555555,24750.5
"(25200, 26100]",0.6644444444444444,0.17777777777777778,0.37444444444444447,0.0,0.5911111111111111,0.2511111111111111,0.26555555555555554,0.0011111111111111111,25650.5
"(26100, 27000]",0.47444444444444445,0.09,0.29,0.0044444444444444444,0.4955555555555556,0.12111111111111111,0.3466666666666667,0.01,26550.5
"(27000, 27900]",0.0011111111111111111,0.0011111111111111111,0.07333333333333333,0.0,0.3466666666666667,0.022222222222222223,0.11777777777777777,0.0,27450.5
"(27900, 28800]",0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.15,0.0,28350.5
