bin,E_0,E_1,N_0,N_1,S_0,S_1,W_0,W_1,count
"(0, 900]",0.023333333333333334,0.0,0.18888888888888888,0.0,0.0,0.0,0.3088888888888889,0.0011111111111111111,450.5
"(900, 1800]",0.5533333333333333,0.09444444444444444,0.31,0.0,0.32666666666666666,0.0033333333333333335,0.5455555555555556,0.02666666666666667,1350.5
"(1800, 2700]",0.29444444444444445,0.022222222222222223,0.6588888888888889,0.06,0.17333333333333334,0.0,0.23,0.0,2250.5
"(2700, 3600]",0.6477777777777778,0.27,0.7822222222222223,0.10333333333333333,0.35444444444444445,0.02666666666666667,0.6866666666666666,0.14444444444444443,3150.5
"(3600, 4500]",0.5522222222222222,0.06555555555555556,0.6222222222222222,0.07333333333333333,0.6544444444444445,0.23666666666666666,0.8311111111111111,0.23,4050.5
"(4500, 5400]",0.6111111111111112,0.07111111111111111,0.8477777777777777,0.11777777777777777,0.6655555555555556,0.19666666666666666,0.8955555555555555,0.24222222222222223,4950.5
"(5400, 6300]",0.6122222222222222,0.34555555555555556,1.0344444444444445,0.2677777777777778,0.8544444444444445,0.4488888888888889,0.7644444444444445,0.20222222222222222,5850.5
"(6300, 7200]",0.9344444444444444,0.5933333333333334,0.8911111111111111,0.14,1.0166666666666666,0.6633333333333333,1.031111111111111,0.54,6750.5
"(7200, 8100]",0.9211111111111111,0.6333333333333333,1.5855555555555556,0.49444444444444446,1.1488888888888888,0.6233333333333333,0.8833333333333333,0.39555555555555555,7650.5
"(8100, 9000]",0.8533333333333334,0.85,1.4833333333333334,0.5077777777777778,1.2277777777777779,0.69,1.0022222222222221,0.7655555555555555,8550.5
"(9000, 9900]",0.9655555555555555,0.7566666666666667,1.3555555555555556,0.24666666666666667,1.21,0.8366666666666667,1.448888888888889,0.8166666666666667,9450.5
"(9900, 10800]",0.9577777777777777,0.6744444444444444,1.5077777777777779,0.5633333333333334,1.4755555555555555,0.9711111111111111,1.63,1.0122222222222221,10350.5
"(10800, 11700]",1.2055555555555555,1.11,1.4111111111111112,0.5555555555555556,1.2355555555555555,0.7677777777777778,1.5366666666666666,1.051111111111111,11250.5
"(11700, 12600]",1.3044444444444445,1.04,1.9444444444444444,0.6711111111111111,1.2744444444444445,0.8444444444444444,1.7577777777777779,0.9533333333333334,12150.5
"(12600, 13500]",1.3733333333333333,1.35,1.7522222222222221,0.5644444444444444,1.4277777777777778,0.9755555555555555,1.5711111111111111,1.1466666666666667,13050.5
"(13500, 14400]",0.9755555555555555,0.8733333333333333,1.99,0.7188888888888889,1.268888888888889,0.8377777777777777,1.5744444444444445,0.5733333333333334,13950.5
"(14400, 15300]",1.1922222222222223,1.3966666666666667,1.9111111111111112,0.7122222222222222,1.3688888888888888,0.8988888888888888,1.3688888888888888,0.6777777777777778,14850.5
"(15300, 16200]",0.9311111111111111,0.8722222222222222,1.5066666666666666,0.4688888888888889,1.298888888888889,0.8866666666666667,1.6266666666666667,0.9933333333333333,15750.5
"(16200, 17100]",1.3077777777777777,1.0644444444444445,1.801111111111111,0.7455555555555555,1.51,1.0155555555555555,1.6655555555555555,1.1722222222222223,16650.5
"(17100, 18000]",1.238888888888889,0.9944444444444445,1.71,0.5677777777777778,1.3355555555555556,0.9555555555555556,1.551111111111111,1.0244444444444445,17550.5
"(18000, 18900]",0.9611111111111111,0.8077777777777778,1.38,0.3566666666666667,1.1655555555555555,0.7111111111111111,1.1888888888888889,0.5466666666666666,18450.5
"(18900, 19800]",0.9177777777777778,0.8344444444444444,1.4377777777777778,0.40444444444444444,0.8988888888888888,0.4477777777777778,1.4755555555555555,0.8566666666666667,19350.5
"(19800, 20700]",0.9877777777777778,0.9011111111111111,1.4144444444444444,0.46111111111111114,1.0355555555555556,0.6033333333333334,1.17,0.35444444444444445,20250.5
"(20700, 21600]",0.8166666666666667,0.64,0.9611111111111111,0.18444444444444444,0.8555555555555555,0.6055555555555555,0.8411111111111111,0.39111111111111113,21150.5
"(21600, 22500]",0.7966666666666666,0.6244444444444445,1.2966666666666666,0.34,0.8766666666666667,0.6244444444444445,0.9644444444444444,0.5355555555555556,22050.5
"(22500, 23400]",0.77,0.2722222222222222,0.98,0.25333333333333335,0.5366666666666666,0.13444444444444445,0.9177777777777778,0.19444444444444445,22950.5
"(23400, 24300]",0.56,0.12111111111111111,0.6811111111111111,0.05555555555555555,0.7022222222222222,0.2677777777777778,0.7366666666666667,0.17666666666666667,23850.5
"(24300, 25200]",0.5344444444444445,0.10777777777777778,0.48444444444444446,0.02,0.5711111111111111,0.07222222222222222,0.31222222222222223,0.025555555555555557,24750.5
"(25200, 26100]",0.6277777777777778,0.15666666666666668,0.38555555555555554,0.0077777777777777776,0.6522222222222223,0.22111111111111112,0.3333333333333333,0.0022222222222222222,25650.5
"(26100, 27000]",0.5144444444444445,0.08777777777777777,0.29333333333333333,0.0022222222222222222,0.5355555555555556,0.07222222222222222,0.5011111111111111,0.035555555555555556,26550.5
"(27000, 27900]",0.0011111111111111111,0.0,0.042222222222222223,0.0,0.2788888888888889,0.005555555555555556,0.09333333333333334,0.0011111111111111111,27450.5
