step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;285458639;0;4;4;37;0.00;0.00;-1.00;0.00;4;0;0;0.00;33
0;0;285458670;0;0;4;37;0.54;0.02;-1.00;0.00;4;0;0;1.00;33
0;0;285458701;0;0;4;37;1.15;0.04;-1.00;0.00;4;0;0;2.00;33
0;0;285458732;0;2;6;37;1.16;0.05;-1.00;1.00;6;0;0;3.00;31
0;0;285458763;0;0;6;37;1.84;0.07;-1.00;1.00;6;0;0;4.00;31
0;0;285458794;0;1;7;37;2.08;0.08;-1.00;1.57;7;0;0;5.00;30
0;0;285458825;0;3;10;37;1.80;0.07;-1.00;2.90;10;0;0;6.00;27
0;0;285458856;0;0;10;37;2.52;0.10;-1.00;2.90;10;0;0;7.00;27
0;0;285458887;0;0;10;37;3.13;0.12;-1.00;2.90;10;0;0;8.00;27
0;0;285458917;0;2;12;37;3.21;0.12;-1.00;3.92;12;0;0;9.00;25
0;0;285458949;0;0;12;37;3.90;0.15;-1.00;3.92;12;0;0;10.00;25
0;0;285458981;0;2;14;37;3.87;0.15;-1.00;4.93;14;0;0;11.00;23
0;0;285459012;0;1;15;37;4.15;0.16;-1.00;5.40;15;0;0;12.00;22
0;0;285459043;0;1;16;37;4.56;0.18;-1.00;5.88;16;0;0;13.00;21
0;0;285459074;0;0;16;37;5.18;0.20;-1.00;5.88;16;0;0;14.00;21
0;0;285459105;0;2;18;37;5.19;0.20;-1.00;6.89;18;0;0;15.00;19
0;0;285459136;0;1;19;37;5.45;0.21;-1.00;7.37;19;0;0;16.00;18
0;0;285459168;0;1;20;37;5.75;0.22;-1.00;7.85;20;0;0;17.00;17
0;0;285459198;0;1;21;37;6.05;0.23;-1.00;8.33;21;0;0;18.00;16
0;0;285459230;0;1;22;37;6.43;0.25;-1.00;8.82;22;0;0;19.00;15
0;0;285459261;0;0;22;37;7.10;0.27;-1.00;8.82;22;0;0;20.00;15
0;0;285459292;0;1;23;37;7.43;0.28;-1.00;9.35;23;0;0;21.00;14
0;0;285459322;0;0;23;37;8.17;0.31;-1.00;9.35;23;0;0;22.00;14
0;0;285459353;0;1;24;37;8.46;0.31;-1.00;9.92;24;0;0;23.00;13
0;0;285459385;0;1;25;37;8.77;0.32;-1.00;10.48;25;0;0;24.00;12
0;0;285459416;0;0;25;37;9.42;0.35;-1.00;10.48;25;0;0;25.00;12
0;0;285459447;0;0;25;37;10.01;0.37;-1.00;10.48;25;0;0;26.00;12
1;0;285459478;1;0;25;37;10.39;0.38;27.00;10.48;24;0;0;27.00;12
2;0;285459509;2;1;26;37;10.34;0.38;26.00;11.15;24;0;0;28.00;11
2;0;285459540;2;1;27;37;10.49;0.39;26.00;11.81;25;0;0;29.00;10
2;0;285459571;2;0;27;37;11.11;0.41;26.00;11.81;25;0;0;30.00;10
3;0;285459603;3;1;28;37;11.00;0.41;25.67;12.50;25;0;0;31.00;9
3;0;285459634;3;1;29;37;10.87;0.41;25.67;13.17;26;0;0;32.00;8
3;0;285459664;3;1;29;37;11.17;0.42;25.67;13.17;26;0;0;33.00;8
4;0;285459695;4;1;30;37;10.93;0.40;26.25;13.87;26;0;0;34.00;7
4;0;285459726;4;2;31;37;11.01;0.41;26.25;14.55;27;0;0;35.00;6
4;0;285459757;4;1;31;37;11.61;0.43;26.25;14.55;27;0;0;36.00;6
4;0;285459788;4;3;33;37;11.44;0.42;26.25;15.91;29;0;0;37.00;4
5;0;285459818;5;1;33;37;11.85;0.43;26.20;15.91;28;0;0;38.00;4
5;0;285459848;5;2;34;37;11.90;0.44;26.20;16.59;29;0;0;39.00;3
5;0;285459879;5;2;35;37;11.85;0.43;26.20;17.26;30;0;0;40.00;2
5;0;285459910;5;1;35;37;12.23;0.45;26.20;17.26;30;0;0;41.00;2
5;0;285459940;5;3;36;37;12.15;0.44;26.20;17.94;31;0;0;42.00;1
5;0;285459972;5;2;36;37;12.46;0.45;26.20;17.94;31;0;0;43.00;1
5;0;285460003;5;3;37;37;12.35;0.45;26.20;18.65;32;0;0;44.00;0
6;0;285460034;6;4;37;37;12.71;0.46;29.33;18.65;31;0;0;45.00;0
6;0;285460065;6;4;37;37;12.90;0.47;29.33;18.65;31;0;0;46.00;0
6;0;285460096;6;4;37;37;13.25;0.49;29.33;18.65;31;0;0;47.00;0
7;0;285460127;7;4;37;37;13.33;0.49;32.00;18.65;30;0;0;48.00;0
7;0;285460157;7;5;37;37;13.83;0.51;32.00;18.65;30;0;0;49.00;0
7;0;285460188;7;5;37;37;14.25;0.52;32.00;18.65;30;0;0;50.00;0
7;0;285460219;7;5;37;37;14.55;0.53;32.00;18.65;30;0;0;51.00;0
8;0;285460250;8;5;37;37;14.63;0.54;33.38;18.65;29;0;0;52.00;0
8;0;285460280;8;7;38;38;13.81;0.51;33.38;18.18;30;0;0;53.00;0
9;0;285460311;9;6;38;38;12.73;0.46;34.67;18.18;29;0;0;54.00;0
9;0;285460341;9;6;38;38;12.07;0.44;34.67;18.18;29;0;0;55.00;0
9;0;285460373;9;9;38;38;11.72;0.42;34.67;18.18;29;0;0;56.00;0
11;0;285460404;11;12;38;38;10.93;0.39;37.36;18.18;27;0;0;57.00;0
11;0;285460436;11;12;38;38;10.93;0.39;37.36;18.18;27;0;0;58.00;0
13;0;285460467;13;13;38;38;9.81;0.35;39.08;18.18;25;0;0;59.00;0
13;0;285460498;13;14;39;39;9.53;0.34;39.08;17.72;26;0;0;60.00;0
14;0;285460530;14;13;39;39;9.14;0.33;40.43;17.72;25;0;0;61.00;0
15;0;285460560;15;14;40;40;8.22;0.30;40.60;17.30;25;0;0;62.00;0
16;0;285460592;16;13;40;40;7.69;0.28;41.31;17.30;24;0;0;63.00;0
16;0;285460621;16;9;40;40;8.05;0.29;41.31;17.30;24;0;0;64.00;0
17;0;285460653;17;5;40;40;7.86;0.29;42.41;17.30;23;0;0;65.00;0
18;0;285460685;18;2;40;40;8.11;0.30;42.44;17.30;22;0;0;66.00;0
18;0;285460716;18;1;40;40;8.63;0.32;42.44;17.30;22;0;0;67.00;0
20;0;285460747;20;0;40;40;8.01;0.29;42.85;17.30;20;0;0;68.00;0
