step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;285374378;0;4;4;37;0.00;0.00;-1.00;0.00;4;0;0;0.00;33
0;0;285374389;0;0;4;37;0.50;0.02;-1.00;0.00;4;0;0;1.00;33
0;0;285374410;0;0;4;37;1.09;0.04;-1.00;0.00;4;0;0;2.00;33
0;0;285374441;0;2;6;37;1.12;0.04;-1.00;1.00;6;0;0;3.00;31
0;0;285374471;0;0;6;37;1.75;0.07;-1.00;1.00;6;0;0;4.00;31
0;0;285374503;0;1;7;37;2.09;0.08;-1.00;1.57;7;0;0;5.00;30
0;0;285374533;0;3;10;37;1.91;0.07;-1.00;2.90;10;0;0;6.00;27
0;0;285374564;0;0;10;37;2.59;0.10;-1.00;2.90;10;0;0;7.00;27
0;0;285374595;0;1;11;37;3.00;0.12;-1.00;3.36;11;0;0;8.00;26
0;0;285374625;0;1;12;37;3.34;0.13;-1.00;3.83;12;0;0;9.00;25
0;0;285374655;0;0;12;37;4.03;0.16;-1.00;3.83;12;0;0;10.00;25
0;0;285374687;0;2;14;37;4.02;0.16;-1.00;4.86;14;0;0;11.00;23
0;0;285374718;0;2;16;37;4.13;0.16;-1.00;5.75;16;0;0;12.00;21
0;0;285374750;0;1;17;37;4.56;0.18;-1.00;6.18;17;0;0;13.00;20
0;0;285374780;0;1;18;37;4.91;0.19;-1.00;6.61;18;0;0;14.00;19
0;0;285374815;0;1;18;37;5.55;0.21;-1.00;6.61;18;0;0;15.00;19
0;0;285374843;0;1;19;37;5.84;0.22;-1.00;7.11;19;0;0;16.00;18
0;0;285374874;0;2;21;37;5.83;0.22;-1.00;8.05;21;0;0;17.00;16
0;0;285374905;0;0;21;37;6.45;0.25;-1.00;8.05;21;0;0;18.00;16
0;0;285374935;0;0;21;37;7.13;0.27;-1.00;8.05;21;0;0;19.00;16
0;0;285374967;0;2;23;37;7.07;0.27;-1.00;9.09;23;0;0;20.00;14
0;0;285374998;0;1;24;37;7.38;0.28;-1.00;9.58;24;0;0;21.00;13
0;0;285375027;0;0;24;37;8.06;0.30;-1.00;9.58;24;0;0;22.00;13
0;0;285375058;0;0;24;37;8.67;0.32;-1.00;9.58;24;0;0;23.00;13
0;0;285375090;0;0;24;37;9.30;0.35;-1.00;9.58;24;0;0;24.00;13
0;0;285375121;0;1;25;37;9.52;0.35;-1.00;10.20;25;0;0;25.00;12
0;0;285375153;0;0;25;37;10.23;0.38;-1.00;10.20;25;0;0;26.00;12
0;0;285375184;0;1;26;37;10.45;0.38;-1.00;10.85;26;0;0;27.00;11
1;0;285375215;1;1;27;37;10.52;0.39;28.00;11.48;26;0;0;28.00;10
2;0;285375246;2;0;27;37;10.85;0.40;27.00;11.48;25;0;0;29.00;10
2;0;285375281;2;1;28;37;11.01;0.41;27.00;12.14;26;0;0;30.00;9
3;0;285375310;3;0;28;37;11.25;0.42;26.33;12.14;25;0;0;31.00;9
3;0;285375342;3;2;30;37;10.70;0.40;26.33;13.47;27;0;0;32.00;7
4;0;285375373;4;0;30;37;10.74;0.40;26.50;13.47;26;0;0;33.00;7
4;0;285375404;4;1;30;37;11.17;0.41;26.50;13.47;26;0;0;34.00;7
4;0;285375436;4;1;30;37;11.88;0.44;26.50;13.47;26;0;0;35.00;7
4;0;285375467;4;2;31;37;12.08;0.45;26.50;14.19;27;0;0;36.00;6
5;0;285375499;5;1;31;37;12.29;0.45;26.20;14.19;26;0;0;37.00;6
5;0;285375530;5;2;32;37;12.29;0.45;26.20;14.94;27;0;0;38.00;5
5;0;285375560;5;1;32;37;12.63;0.46;26.20;14.94;27;0;0;39.00;5
5;0;285375591;5;2;33;37;12.59;0.46;26.20;15.70;28;0;0;40.00;4
5;0;285375621;5;2;34;37;12.53;0.46;26.20;16.44;29;0;0;41.00;3
5;0;285375653;5;3;35;37;12.34;0.45;26.20;17.17;30;0;0;42.00;2
5;0;285375685;5;2;35;37;12.61;0.46;26.20;17.17;30;0;0;43.00;2
5;0;285375717;5;3;36;37;12.48;0.45;26.20;17.92;31;0;0;44.00;1
5;0;285375749;5;3;36;37;12.78;0.47;26.20;17.92;31;0;0;45.00;1
5;0;285375779;5;5;37;37;12.82;0.47;26.20;18.68;32;0;0;46.00;0
