bin,Step Time,Average Flow
"(0, 300]",150.5,11.426666666666666
"(300, 600]",450.5,7.2
"(600, 900]",750.5,7.12
"(900, 1200]",1050.5,7.47
"(1200, 1500]",1350.5,8.133333333333333
"(1500, 1800]",1650.5,7.156666666666666
"(1800, 2100]",1950.5,8.396666666666667
"(2100, 2400]",2250.5,7.583333333333333
"(2400, 2700]",2550.5,7.843333333333334
"(2700, 3000]",2850.5,7.12
"(3000, 3300]",3150.5,7.19
"(3300, 3600]",3450.5,6.52
"(3600, 3900]",3750.5,17.406666666666666
"(3900, 4200]",4050.5,13.95
"(4200, 4500]",4350.5,14.363333333333333
"(4500, 4800]",4650.5,13.956666666666667
"(4800, 5100]",4950.5,14.366666666666667
"(5100, 5400]",5250.5,13.713333333333333
"(5400, 5700]",5550.5,15.72
"(5700, 6000]",5850.5,14.056666666666667
"(6000, 6300]",6150.5,13.833333333333334
"(6300, 6600]",6450.5,14.206666666666667
"(6600, 6900]",6750.5,14.646666666666667
"(6900, 7200]",7050.5,13.456666666666667
"(7200, 7500]",7350.5,33.196666666666665
"(7500, 7800]",7650.5,31.503333333333334
"(7800, 8100]",7950.5,31.67
"(8100, 8400]",8250.5,32.21333333333333
"(8400, 8700]",8550.5,32.5
"(8700, 9000]",8850.5,31.21
"(9000, 9300]",9150.5,32.12
"(9300, 9600]",9450.5,31.01
"(9600, 9900]",9750.5,30.91
"(9900, 10200]",10050.5,32.0
"(10200, 10500]",10350.5,31.28
"(10500, 10800]",10650.5,31.133333333333333
"(10800, 11100]",10950.5,43.5
"(11100, 11400]",11250.5,43.35
"(11400, 11700]",11550.5,44.11333333333334
"(11700, 12000]",11850.5,42.486666666666665
"(12000, 12300]",12150.5,42.6
"(12300, 12600]",12450.5,42.64
"(12600, 12900]",12750.5,43.35333333333333
"(12900, 13200]",13050.5,43.013333333333335
"(13200, 13500]",13350.5,42.52333333333333
"(13500, 13800]",13650.5,41.91
"(13800, 14100]",13950.5,43.18
"(14100, 14400]",14250.5,41.46333333333333
"(14400, 14700]",14550.5,46.236666666666665
"(14700, 15000]",14850.5,42.61333333333334
"(15000, 15300]",15150.5,44.016666666666666
"(15300, 15600]",15450.5,41.57333333333333
"(15600, 15900]",15750.5,44.10333333333333
"(15900, 16200]",16050.5,42.73
"(16200, 16500]",16350.5,44.77333333333333
"(16500, 16800]",16650.5,42.06333333333333
"(16800, 17100]",16950.5,43.656666666666666
"(17100, 17400]",17250.5,42.17333333333333
"(17400, 17700]",17550.5,44.82333333333333
"(17700, 18000]",17850.5,41.16
"(18000, 18300]",18150.5,44.74
"(18300, 18600]",18450.5,40.18666666666667
"(18600, 18900]",18750.5,40.42333333333333
"(18900, 19200]",19050.5,40.32333333333333
"(19200, 19500]",19350.5,40.79666666666667
"(19500, 19800]",19650.5,39.85
"(19800, 20100]",19950.5,39.906666666666666
"(20100, 20400]",20250.5,39.75666666666667
"(20400, 20700]",20550.5,40.833333333333336
"(20700, 21000]",20850.5,39.94
"(21000, 21300]",21150.5,40.776666666666664
"(21300, 21600]",21450.5,39.32333333333333
"(21600, 21900]",21750.5,44.95
"(21900, 22200]",22050.5,40.51
"(22200, 22500]",22350.5,41.166666666666664
"(22500, 22800]",22650.5,40.52
"(22800, 23100]",22950.5,41.23
"(23100, 23400]",23250.5,39.64666666666667
"(23400, 23700]",23550.5,42.903333333333336
"(23700, 24000]",23850.5,41.11333333333334
"(24000, 24300]",24150.5,41.15
"(24300, 24600]",24450.5,41.56333333333333
"(24600, 24900]",24750.5,40.08
"(24900, 25200]",25050.5,39.69
"(25200, 25500]",25350.5,33.193333333333335
"(25500, 25800]",25650.5,29.373333333333335
"(25800, 26100]",25950.5,28.89666666666667
"(26100, 26400]",26250.5,29.27
"(26400, 26700]",26550.5,29.55
"(26700, 27000]",26850.5,28.206666666666667
"(27000, 27300]",27150.5,28.606666666666666
"(27300, 27600]",27450.5,29.546666666666667
"(27600, 27900]",27750.5,29.496666666666666
"(27900, 28200]",28050.5,29.613333333333333
"(28200, 28500]",28350.5,28.336666666666666
"(28500, 28800]",28650.5,27.83
"(28800, 29100]",28950.5,40.583333333333336
"(29100, 29400]",29250.5,39.64666666666667
"(29400, 29700]",29550.5,41.78
"(29700, 30000]",29850.5,39.873333333333335
"(30000, 30300]",30150.5,40.15
"(30300, 30600]",30450.5,39.403333333333336
"(30600, 30900]",30750.5,41.03333333333333
"(30900, 31200]",31050.5,39.27333333333333
"(31200, 31500]",31350.5,40.60333333333333
"(31500, 31800]",31650.5,39.39333333333333
"(31800, 32100]",31950.5,40.85666666666667
"(32100, 32400]",32250.5,36.93666666666667
"(32400, 32700]",32550.5,43.38333333333333
"(32700, 33000]",32850.5,37.89333333333333
"(33000, 33300]",33150.5,37.64
"(33300, 33600]",33450.5,39.403333333333336
"(33600, 33900]",33750.5,39.763333333333335
"(33900, 34200]",34050.5,38.8
"(34200, 34500]",34350.5,40.013333333333335
"(34500, 34800]",34650.5,37.79666666666667
"(34800, 35100]",34950.5,38.336666666666666
"(35100, 35400]",35250.5,40.733333333333334
"(35400, 35700]",35550.5,39.093333333333334
"(35700, 36000]",35850.5,38.06
"(36000, 36300]",36150.5,44.056666666666665
"(36300, 36600]",36450.5,41.596666666666664
"(36600, 36900]",36750.5,42.14
"(36900, 37200]",37050.5,40.12
"(37200, 37500]",37350.5,41.443333333333335
"(37500, 37800]",37650.5,41.693333333333335
"(37800, 38100]",37950.5,44.083333333333336
"(38100, 38400]",38250.5,41.193333333333335
"(38400, 38700]",38550.5,40.946666666666665
"(38700, 39000]",38850.5,40.63666666666666
"(39000, 39300]",39150.5,40.82333333333333
"(39300, 39600]",39450.5,39.29333333333334
"(39600, 39900]",39750.5,40.15
"(39900, 40200]",40050.5,38.43333333333333
"(40200, 40500]",40350.5,39.193333333333335
"(40500, 40800]",40650.5,37.973333333333336
"(40800, 41100]",40950.5,38.526666666666664
"(41100, 41400]",41250.5,39.32666666666667
"(41400, 41700]",41550.5,39.10666666666667
"(41700, 42000]",41850.5,38.29666666666667
"(42000, 42300]",42150.5,38.86333333333334
"(42300, 42600]",42450.5,39.723333333333336
"(42600, 42900]",42750.5,38.72666666666667
"(42900, 43200]",43050.5,37.513333333333335
"(43200, 43500]",43350.5,39.29333333333334
"(43500, 43800]",43650.5,37.486666666666665
"(43800, 44100]",43950.5,37.36666666666667
"(44100, 44400]",44250.5,38.123333333333335
"(44400, 44700]",44550.5,39.71666666666667
"(44700, 45000]",44850.5,36.88666666666666
"(45000, 45300]",45150.5,37.89
"(45300, 45600]",45450.5,38.45
"(45600, 45900]",45750.5,37.98
"(45900, 46200]",46050.5,38.31
"(46200, 46500]",46350.5,38.88333333333333
"(46500, 46800]",46650.5,36.52
"(46800, 47100]",46950.5,39.153333333333336
"(47100, 47400]",47250.5,36.556666666666665
"(47400, 47700]",47550.5,36.21666666666667
"(47700, 48000]",47850.5,35.39
"(48000, 48300]",48150.5,35.70666666666666
"(48300, 48600]",48450.5,34.75333333333333
"(48600, 48900]",48750.5,37.696666666666665
"(48900, 49200]",49050.5,35.57666666666667
"(49200, 49500]",49350.5,35.906666666666666
"(49500, 49800]",49650.5,36.75
"(49800, 50100]",49950.5,36.306666666666665
"(50100, 50400]",50250.5,34.85333333333333
"(50400, 50700]",50550.5,32.03
"(50700, 51000]",50850.5,27.85333333333333
"(51000, 51300]",51150.5,27.21
"(51300, 51600]",51450.5,28.336666666666666
"(51600, 51900]",51750.5,29.426666666666666
"(51900, 52200]",52050.5,27.22
"(52200, 52500]",52350.5,28.97
"(52500, 52800]",52650.5,26.503333333333334
"(52800, 53100]",52950.5,28.673333333333332
"(53100, 53400]",53250.5,28.92
"(53400, 53700]",53550.5,27.12
"(53700, 54000]",53850.5,26.46
