bin,Step Time,Average Flow
"(0, 300]",150.5,11.953333333333333
"(300, 600]",450.5,7.796666666666667
"(600, 900]",750.5,7.916666666666667
"(900, 1200]",1050.5,7.63
"(1200, 1500]",1350.5,8.676666666666666
"(1500, 1800]",1650.5,8.053333333333333
"(1800, 2100]",1950.5,9.276666666666667
"(2100, 2400]",2250.5,7.8133333333333335
"(2400, 2700]",2550.5,8.2
"(2700, 3000]",2850.5,7.876666666666667
"(3000, 3300]",3150.5,7.636666666666667
"(3300, 3600]",3450.5,7.223333333333334
"(3600, 3900]",3750.5,18.016666666666666
"(3900, 4200]",4050.5,14.526666666666667
"(4200, 4500]",4350.5,14.32
"(4500, 4800]",4650.5,14.806666666666667
"(4800, 5100]",4950.5,15.026666666666667
"(5100, 5400]",5250.5,14.603333333333333
"(5400, 5700]",5550.5,15.993333333333334
"(5700, 6000]",5850.5,14.753333333333334
"(6000, 6300]",6150.5,14.823333333333334
"(6300, 6600]",6450.5,14.9
"(6600, 6900]",6750.5,15.376666666666667
"(6900, 7200]",7050.5,13.513333333333334
"(7200, 7500]",7350.5,33.91
"(7500, 7800]",7650.5,32.45333333333333
"(7800, 8100]",7950.5,31.04
"(8100, 8400]",8250.5,32.75333333333333
"(8400, 8700]",8550.5,32.65
"(8700, 9000]",8850.5,31.706666666666667
"(9000, 9300]",9150.5,32.656666666666666
"(9300, 9600]",9450.5,32.263333333333335
"(9600, 9900]",9750.5,32.22
"(9900, 10200]",10050.5,32.96333333333333
"(10200, 10500]",10350.5,31.866666666666667
"(10500, 10800]",10650.5,31.18
"(10800, 11100]",10950.5,45.99666666666667
"(11100, 11400]",11250.5,42.17
"(11400, 11700]",11550.5,43.42666666666667
"(11700, 12000]",11850.5,41.836666666666666
"(12000, 12300]",12150.5,43.02333333333333
"(12300, 12600]",12450.5,42.50333333333333
"(12600, 12900]",12750.5,44.29333333333334
"(12900, 13200]",13050.5,44.01
"(13200, 13500]",13350.5,42.486666666666665
"(13500, 13800]",13650.5,43.17333333333333
"(13800, 14100]",13950.5,44.32666666666667
"(14100, 14400]",14250.5,41.49333333333333
