bin,Step Time,Average Flow
"(0, 600]",300.5,9.875
"(600, 1200]",900.5,7.773333333333333
"(1200, 1800]",1500.5,8.365
"(1800, 2400]",2100.5,8.545
"(2400, 3000]",2700.5,8.038333333333334
"(3000, 3600]",3300.5,7.43
"(3600, 4200]",3900.5,16.27166666666667
"(4200, 4800]",4500.5,14.563333333333333
"(4800, 5400]",5100.5,14.815
"(5400, 6000]",5700.5,15.373333333333333
"(6000, 6600]",6300.5,14.861666666666666
"(6600, 7200]",6900.5,14.445
"(7200, 7800]",7500.5,33.181666666666665
"(7800, 8400]",8100.5,31.89666666666667
"(8400, 9000]",8700.5,32.178333333333335
"(9000, 9600]",9300.5,32.46
"(9600, 10200]",9900.5,32.59166666666667
"(10200, 10800]",10500.5,31.523333333333333
"(10800, 11400]",11100.5,44.083333333333336
"(11400, 12000]",11700.5,42.63166666666667
"(12000, 12600]",12300.5,42.763333333333335
"(12600, 13200]",12900.5,44.151666666666664
"(13200, 13800]",13500.5,42.83
"(13800, 14400]",14100.5,42.91
"(14400, 15000]",14700.5,45.42333333333333
"(15000, 15600]",15300.5,44.15
"(15600, 16200]",15900.5,44.78666666666667
"(16200, 16800]",16500.5,42.97833333333333
"(16800, 17400]",17100.5,44.138333333333335
"(17400, 18000]",17700.5,43.08
"(18000, 18600]",18300.5,43.245
"(18600, 19200]",18900.5,39.08833333333333
"(19200, 19800]",19500.5,39.935
"(19800, 20400]",20100.5,39.33833333333333
"(20400, 21000]",20700.5,40.125
"(21000, 21600]",21300.5,39.9
"(21600, 22200]",21900.5,43.608333333333334
"(22200, 22800]",22500.5,41.97666666666667
"(22800, 23400]",23100.5,40.77166666666667
"(23400, 24000]",23700.5,41.165
"(24000, 24600]",24300.5,41.385
"(24600, 25200]",24900.5,39.723333333333336
"(25200, 25800]",25500.5,31.12
"(25800, 26400]",26100.5,28.903333333333332
"(26400, 27000]",26700.5,28.958333333333332
"(27000, 27600]",27300.5,30.018333333333334
"(27600, 28200]",27900.5,29.35
"(28200, 28800]",28500.5,28.9
"(28800, 29400]",29100.5,41.111666666666665
"(29400, 30000]",29700.5,39.38
"(30000, 30600]",30300.5,39.535
"(30600, 31200]",30900.5,39.20166666666667
"(31200, 31800]",31500.5,39.77166666666667
"(31800, 32400]",32100.5,39.22
"(32400, 33000]",32700.5,40.945
"(33000, 33600]",33300.5,38.61833333333333
"(33600, 34200]",33900.5,38.635
"(34200, 34800]",34500.5,38.685
"(34800, 35400]",35100.5,39.86833333333333
"(35400, 36000]",35700.5,37.955
"(36000, 36600]",36300.5,42.695
"(36600, 37200]",36900.5,40.99166666666667
"(37200, 37800]",37500.5,41.141666666666666
"(37800, 38400]",38100.5,41.9
"(38400, 39000]",38700.5,41.26166666666666
"(39000, 39600]",39300.5,40.38333333333333
"(39600, 40200]",39900.5,40.80833333333333
"(40200, 40800]",40500.5,37.94833333333333
"(40800, 41400]",41100.5,37.66
"(41400, 42000]",41700.5,37.83166666666666
"(42000, 42600]",42300.5,37.44
"(42600, 43200]",42900.5,37.25833333333333
"(43200, 43800]",43500.5,38.21666666666667
"(43800, 44400]",44100.5,37.09166666666667
"(44400, 45000]",44700.5,38.64666666666667
"(45000, 45600]",45300.5,38.11
"(45600, 46200]",45900.5,38.11333333333334
"(46200, 46800]",46500.5,37.71
"(46800, 47400]",47100.5,37.43833333333333
"(47400, 48000]",47700.5,36.46333333333333
"(48000, 48600]",48300.5,36.225
"(48600, 49200]",48900.5,35.855
"(49200, 49800]",49500.5,36.035
"(49800, 50400]",50100.5,34.615
"(50400, 51000]",50700.5,29.08
"(51000, 51600]",51300.5,27.206666666666667
"(51600, 52200]",51900.5,28.046666666666667
"(52200, 52800]",52500.5,26.993333333333332
"(52800, 53400]",53100.5,28.648333333333333
"(53400, 54000]",53700.5,26.733333333333334
