bin,Step Time,Average Flow
"(0, 300]",150.5,11.806666666666667
"(300, 600]",450.5,7.7
"(600, 900]",750.5,7.573333333333333
"(900, 1200]",1050.5,8.296666666666667
"(1200, 1500]",1350.5,7.96
"(1500, 1800]",1650.5,7.43
"(1800, 2100]",1950.5,9.21
"(2100, 2400]",2250.5,7.983333333333333
"(2400, 2700]",2550.5,8.796666666666667
"(2700, 3000]",2850.5,8.566666666666666
"(3000, 3300]",3150.5,7.946666666666666
"(3300, 3600]",3450.5,7.213333333333333
"(3600, 3900]",3750.5,18.58
"(3900, 4200]",4050.5,15.2
"(4200, 4500]",4350.5,15.133333333333333
"(4500, 4800]",4650.5,16.616666666666667
"(4800, 5100]",4950.5,15.923333333333334
"(5100, 5400]",5250.5,15.463333333333333
"(5400, 5700]",5550.5,15.816666666666666
"(5700, 6000]",5850.5,15.14
"(6000, 6300]",6150.5,16.043333333333333
"(6300, 6600]",6450.5,15.943333333333333
"(6600, 6900]",6750.5,15.233333333333333
"(6900, 7200]",7050.5,14.35
"(7200, 7500]",7350.5,34.48
"(7500, 7800]",7650.5,34.17333333333333
"(7800, 8100]",7950.5,32.63666666666666
"(8100, 8400]",8250.5,33.223333333333336
"(8400, 8700]",8550.5,33.78
"(8700, 9000]",8850.5,32.74666666666667
"(9000, 9300]",9150.5,33.806666666666665
"(9300, 9600]",9450.5,33.56333333333333
"(9600, 9900]",9750.5,32.83
"(9900, 10200]",10050.5,33.92333333333333
"(10200, 10500]",10350.5,33.32333333333333
"(10500, 10800]",10650.5,32.626666666666665
"(10800, 11100]",10950.5,44.91
"(11100, 11400]",11250.5,43.873333333333335
"(11400, 11700]",11550.5,45.373333333333335
"(11700, 12000]",11850.5,43.766666666666666
"(12000, 12300]",12150.5,45.53333333333333
"(12300, 12600]",12450.5,42.99333333333333
"(12600, 12900]",12750.5,44.86666666666667
"(12900, 13200]",13050.5,44.32
"(13200, 13500]",13350.5,44.483333333333334
"(13500, 13800]",13650.5,44.86666666666667
"(13800, 14100]",13950.5,42.89333333333333
"(14100, 14400]",14250.5,42.056666666666665
"(14400, 14700]",14550.5,48.20333333333333
"(14700, 15000]",14850.5,44.6
"(15000, 15300]",15150.5,44.49666666666667
"(15300, 15600]",15450.5,44.85
"(15600, 15900]",15750.5,45.78333333333333
"(15900, 16200]",16050.5,45.446666666666665
"(16200, 16500]",16350.5,45.25666666666667
"(16500, 16800]",16650.5,44.733333333333334
"(16800, 17100]",16950.5,46.14666666666667
"(17100, 17400]",17250.5,45.06666666666667
"(17400, 17700]",17550.5,45.91
"(17700, 18000]",17850.5,43.12
"(18000, 18300]",18150.5,46.35666666666667
"(18300, 18600]",18450.5,41.77
"(18600, 18900]",18750.5,40.57
"(18900, 19200]",19050.5,41.70333333333333
"(19200, 19500]",19350.5,42.11666666666667
"(19500, 19800]",19650.5,41.29666666666667
"(19800, 20100]",19950.5,41.87
"(20100, 20400]",20250.5,41.93666666666667
"(20400, 20700]",20550.5,42.14333333333333
"(20700, 21000]",20850.5,42.35333333333333
"(21000, 21300]",21150.5,41.95
"(21300, 21600]",21450.5,40.876666666666665
"(21600, 21900]",21750.5,46.13666666666666
"(21900, 22200]",22050.5,41.943333333333335
"(22200, 22500]",22350.5,42.39333333333333
"(22500, 22800]",22650.5,41.89666666666667
"(22800, 23100]",22950.5,42.54666666666667
"(23100, 23400]",23250.5,41.25333333333333
"(23400, 23700]",23550.5,44.14333333333333
"(23700, 24000]",23850.5,40.096666666666664
"(24000, 24300]",24150.5,42.74
"(24300, 24600]",24450.5,40.946666666666665
"(24600, 24900]",24750.5,42.693333333333335
"(24900, 25200]",25050.5,40.903333333333336
"(25200, 25500]",25350.5,34.86333333333334
"(25500, 25800]",25650.5,29.206666666666667
"(25800, 26100]",25950.5,29.363333333333333
"(26100, 26400]",26250.5,30.26
"(26400, 26700]",26550.5,31.073333333333334
"(26700, 27000]",26850.5,29.16
"(27000, 27300]",27150.5,30.6
"(27300, 27600]",27450.5,31.14
"(27600, 27900]",27750.5,31.486666666666668
"(27900, 28200]",28050.5,31.716666666666665
"(28200, 28500]",28350.5,29.033333333333335
"(28500, 28800]",28650.5,29.766666666666666
"(28800, 29100]",28950.5,43.373333333333335
"(29100, 29400]",29250.5,41.92333333333333
"(29400, 29700]",29550.5,40.50333333333333
"(29700, 30000]",29850.5,40.24666666666667
