bin,Step Time,Average Relative Speed
"(0, 300]",150.5,0.41186666666666666
"(300, 600]",450.5,0.4254
"(600, 900]",750.5,0.4874333333333333
"(900, 1200]",1050.5,0.4484
"(1200, 1500]",1350.5,0.40790000000000004
"(1500, 1800]",1650.5,0.4308
"(1800, 2100]",1950.5,0.4431333333333333
"(2100, 2400]",2250.5,0.43633333333333335
"(2400, 2700]",2550.5,0.4060666666666667
"(2700, 3000]",2850.5,0.47613333333333335
"(3000, 3300]",3150.5,0.44126666666666664
"(3300, 3600]",3450.5,0.4300333333333333
"(3600, 3900]",3750.5,0.4105666666666667
"(3900, 4200]",4050.5,0.4341
"(4200, 4500]",4350.5,0.41673333333333334
"(4500, 4800]",4650.5,0.44830000000000003
"(4800, 5100]",4950.5,0.4131
"(5100, 5400]",5250.5,0.4424
"(5400, 5700]",5550.5,0.3984666666666667
"(5700, 6000]",5850.5,0.43316666666666664
"(6000, 6300]",6150.5,0.4407333333333333
"(6300, 6600]",6450.5,0.4242666666666667
"(6600, 6900]",6750.5,0.41
"(6900, 7200]",7050.5,0.4267666666666667
"(7200, 7500]",7350.5,0.3757666666666667
"(7500, 7800]",7650.5,0.382
"(7800, 8100]",7950.5,0.37666666666666665
"(8100, 8400]",8250.5,0.3774
"(8400, 8700]",8550.5,0.37920000000000004
"(8700, 9000]",8850.5,0.38136666666666663
"(9000, 9300]",9150.5,0.3845
"(9300, 9600]",9450.5,0.3921
"(9600, 9900]",9750.5,0.38756666666666667
"(9900, 10200]",10050.5,0.38386666666666663
"(10200, 10500]",10350.5,0.39163333333333333
"(10500, 10800]",10650.5,0.3774666666666667
"(10800, 11100]",10950.5,0.3678666666666667
"(11100, 11400]",11250.5,0.35766666666666663
"(11400, 11700]",11550.5,0.35969999999999996
"(11700, 12000]",11850.5,0.37093333333333334
"(12000, 12300]",12150.5,0.36469999999999997
"(12300, 12600]",12450.5,0.36793333333333333
"(12600, 12900]",12750.5,0.3703
"(12900, 13200]",13050.5,0.3614
"(13200, 13500]",13350.5,0.3761
"(13500, 13800]",13650.5,0.37296666666666667
"(13800, 14100]",13950.5,0.3642333333333333
"(14100, 14400]",14250.5,0.3715333333333333
"(14400, 14700]",14550.5,0.36606666666666665
"(14700, 15000]",14850.5,0.37263333333333337
"(15000, 15300]",15150.5,0.3649
"(15300, 15600]",15450.5,0.37356666666666666
"(15600, 15900]",15750.5,0.37170000000000003
"(15900, 16200]",16050.5,0.3715333333333333
"(16200, 16500]",16350.5,0.366
"(16500, 16800]",16650.5,0.3747666666666667
"(16800, 17100]",16950.5,0.3718666666666667
"(17100, 17400]",17250.5,0.37296666666666667
"(17400, 17700]",17550.5,0.3714
"(17700, 18000]",17850.5,0.37393333333333334
"(18000, 18300]",18150.5,0.36473333333333335
"(18300, 18600]",18450.5,0.37206666666666666
"(18600, 18900]",18750.5,0.36843333333333333
"(18900, 19200]",19050.5,0.37616666666666665
"(19200, 19500]",19350.5,0.3656666666666667
"(19500, 19800]",19650.5,0.37433333333333335
"(19800, 20100]",19950.5,0.3804
"(20100, 20400]",20250.5,0.37396666666666667
"(20400, 20700]",20550.5,0.37506666666666666
"(20700, 21000]",20850.5,0.36829999999999996
"(21000, 21300]",21150.5,0.36633333333333334
"(21300, 21600]",21450.5,0.37883333333333336
"(21600, 21900]",21750.5,0.36156666666666665
"(21900, 22200]",22050.5,0.3757
"(22200, 22500]",22350.5,0.37506666666666666
"(22500, 22800]",22650.5,0.3711
"(22800, 23100]",22950.5,0.3675
"(23100, 23400]",23250.5,0.3771
"(23400, 23700]",23550.5,0.3670666666666667
"(23700, 24000]",23850.5,0.3712
"(24000, 24300]",24150.5,0.3651
"(24300, 24600]",24450.5,0.3688
"(24600, 24900]",24750.5,0.382
"(24900, 25200]",25050.5,0.36856666666666665
"(25200, 25500]",25350.5,0.3680333333333333
"(25500, 25800]",25650.5,0.3645
"(25800, 26100]",25950.5,0.3655333333333333
"(26100, 26400]",26250.5,0.377
