bin,Step Time,Average Relative Speed
"(0, 300]",150.5,0.3741
"(300, 600]",450.5,0.38143333333333335
"(600, 900]",750.5,0.4164
"(900, 1200]",1050.5,0.43163333333333337
"(1200, 1500]",1350.5,0.3883333333333333
"(1500, 1800]",1650.5,0.3577666666666667
"(1800, 2100]",1950.5,0.40003333333333335
"(2100, 2400]",2250.5,0.4182666666666667
"(2400, 2700]",2550.5,0.4028
"(2700, 3000]",2850.5,0.4181666666666667
"(3000, 3300]",3150.5,0.40426666666666666
"(3300, 3600]",3450.5,0.36243333333333333
"(3600, 3900]",3750.5,0.39136666666666664
"(3900, 4200]",4050.5,0.4288666666666667
"(4200, 4500]",4350.5,0.4139
"(4500, 4800]",4650.5,0.4137
"(4800, 5100]",4950.5,0.4015666666666667
"(5100, 5400]",5250.5,0.4151
"(5400, 5700]",5550.5,0.3836
"(5700, 6000]",5850.5,0.41183333333333333
"(6000, 6300]",6150.5,0.41386666666666666
"(6300, 6600]",6450.5,0.4
"(6600, 6900]",6750.5,0.40800000000000003
"(6900, 7200]",7050.5,0.4215
"(7200, 7500]",7350.5,0.36386666666666667
"(7500, 7800]",7650.5,0.3778
"(7800, 8100]",7950.5,0.38156666666666667
"(8100, 8400]",8250.5,0.3796
"(8400, 8700]",8550.5,0.3804
"(8700, 9000]",8850.5,0.3778333333333333
"(9000, 9300]",9150.5,0.3777333333333333
"(9300, 9600]",9450.5,0.3766
"(9600, 9900]",9750.5,0.37696666666666667
"(9900, 10200]",10050.5,0.3753666666666667
"(10200, 10500]",10350.5,0.3852
"(10500, 10800]",10650.5,0.37606666666666666
"(10800, 11100]",10950.5,0.34996666666666665
"(11100, 11400]",11250.5,0.3718666666666667
"(11400, 11700]",11550.5,0.368
"(11700, 12000]",11850.5,0.3703666666666667
"(12000, 12300]",12150.5,0.3653
"(12300, 12600]",12450.5,0.3711
"(12600, 12900]",12750.5,0.3675333333333333
"(12900, 13200]",13050.5,0.3606666666666667
"(13200, 13500]",13350.5,0.3682666666666667
"(13500, 13800]",13650.5,0.3607666666666667
"(13800, 14100]",13950.5,0.36283333333333334
"(14100, 14400]",14250.5,0.3678666666666667
"(14400, 14700]",14550.5,0.3523
"(14700, 15000]",14850.5,0.37079999999999996
"(15000, 15300]",15150.5,0.35246666666666665
"(15300, 15600]",15450.5,0.3742333333333333
"(15600, 15900]",15750.5,0.3580666666666667
"(15900, 16200]",16050.5,0.3621
"(16200, 16500]",16350.5,0.36483333333333334
"(16500, 16800]",16650.5,0.38203333333333334
"(16800, 17100]",16950.5,0.3581333333333333
"(17100, 17400]",17250.5,0.3698666666666666
"(17400, 17700]",17550.5,0.37496666666666667
"(17700, 18000]",17850.5,0.3707666666666667
"(18000, 18300]",18150.5,0.3653333333333333
"(18300, 18600]",18450.5,0.36873333333333336
"(18600, 18900]",18750.5,0.38180000000000003
"(18900, 19200]",19050.5,0.3756333333333333
"(19200, 19500]",19350.5,0.3753666666666667
"(19500, 19800]",19650.5,0.3775
"(19800, 20100]",19950.5,0.38253333333333334
"(20100, 20400]",20250.5,0.38963333333333333
"(20400, 20700]",20550.5,0.3827
"(20700, 21000]",20850.5,0.36656666666666665
"(21000, 21300]",21150.5,0.3728666666666667
"(21300, 21600]",21450.5,0.373
"(21600, 21900]",21750.5,0.35319999999999996
"(21900, 22200]",22050.5,0.37310000000000004
"(22200, 22500]",22350.5,0.3605333333333333
"(22500, 22800]",22650.5,0.3652666666666667
"(22800, 23100]",22950.5,0.37113333333333337
"(23100, 23400]",23250.5,0.37453333333333333
"(23400, 23700]",23550.5,0.3757333333333333
"(23700, 24000]",23850.5,0.37453333333333333
"(24000, 24300]",24150.5,0.3700333333333333
"(24300, 24600]",24450.5,0.3643
"(24600, 24900]",24750.5,0.37603333333333333
"(24900, 25200]",25050.5,0.38656666666666667
"(25200, 25500]",25350.5,0.36296666666666666
"(25500, 25800]",25650.5,0.3753333333333333
"(25800, 26100]",25950.5,0.3677666666666667
"(26100, 26400]",26250.5,0.38303333333333334
"(26400, 26700]",26550.5,0.3648
"(26700, 27000]",26850.5,0.3743666666666667
"(27000, 27300]",27150.5,0.361
"(27300, 27600]",27450.5,0.37133333333333335
"(27600, 27900]",27750.5,0.37156666666666666
"(27900, 28200]",28050.5,0.3729
"(28200, 28500]",28350.5,0.3653333333333333
"(28500, 28800]",28650.5,0.36843333333333333
"(28800, 29100]",28950.5,0.3333
"(29100, 29400]",29250.5,0.3466666666666667
"(29400, 29700]",29550.5,0.35366666666666663
"(29700, 30000]",29850.5,0.3682666666666667
"(30000, 30300]",30150.5,0.35223333333333334
"(30300, 30600]",30450.5,0.36123333333333335
"(30600, 30900]",30750.5,0.3641666666666667
"(30900, 31200]",31050.5,0.35613333333333336
"(31200, 31500]",31350.5,0.3491
"(31500, 31800]",31650.5,0.3560666666666667
"(31800, 32100]",31950.5,0.35133333333333333
"(32100, 32400]",32250.5,0.36223333333333335
"(32400, 32700]",32550.5,0.3415333333333333
"(32700, 33000]",32850.5,0.35766666666666663
"(33000, 33300]",33150.5,0.3746
"(33300, 33600]",33450.5,0.34540000000000004
"(33600, 33900]",33750.5,0.35256666666666664
"(33900, 34200]",34050.5,0.3677
"(34200, 34500]",34350.5,0.35236666666666666
"(34500, 34800]",34650.5,0.36573333333333335
"(34800, 35100]",34950.5,0.35796666666666666
"(35100, 35400]",35250.5,0.3441333333333333
"(35400, 35700]",35550.5,0.35283333333333333
"(35700, 36000]",35850.5,0.3662
"(36000, 36300]",36150.5,0.3377
"(36300, 36600]",36450.5,0.36896666666666667
"(36600, 36900]",36750.5,0.36156666666666665
"(36900, 37200]",37050.5,0.35186666666666666
"(37200, 37500]",37350.5,0.3473333333333333
"(37500, 37800]",37650.5,0.36386666666666667
"(37800, 38100]",37950.5,0.34963333333333335
"(38100, 38400]",38250.5,0.35363333333333336
"(38400, 38700]",38550.5,0.3579333333333333
"(38700, 39000]",38850.5,0.3539333333333334
"(39000, 39300]",39150.5,0.35366666666666663
"(39300, 39600]",39450.5,0.36496666666666666
"(39600, 39900]",39750.5,0.3451666666666667
"(39900, 40200]",40050.5,0.3675
"(40200, 40500]",40350.5,0.36233333333333334
"(40500, 40800]",40650.5,0.3737
"(40800, 41100]",40950.5,0.36136666666666667
"(41100, 41400]",41250.5,0.3728666666666667
"(41400, 41700]",41550.5,0.36819999999999997
"(41700, 42000]",41850.5,0.36873333333333336
"(42000, 42300]",42150.5,0.3831
"(42300, 42600]",42450.5,0.3725333333333333
"(42600, 42900]",42750.5,0.3692666666666667
"(42900, 43200]",43050.5,0.3702333333333333
"(43200, 43500]",43350.5,0.35373333333333334
"(43500, 43800]",43650.5,0.36086666666666667
"(43800, 44100]",43950.5,0.36256666666666665
"(44100, 44400]",44250.5,0.3611
"(44400, 44700]",44550.5,0.34546666666666664
"(44700, 45000]",44850.5,0.35103333333333336
"(45000, 45300]",45150.5,0.36003333333333337
"(45300, 45600]",45450.5,0.3485
"(45600, 45900]",45750.5,0.35819999999999996
"(45900, 46200]",46050.5,0.3531666666666667
"(46200, 46500]",46350.5,0.3419333333333333
"(46500, 46800]",46650.5,0.35936666666666667
"(46800, 47100]",46950.5,0.3497
"(47100, 47400]",47250.5,0.34886666666666666
"(47400, 47700]",47550.5,0.3492
"(47700, 48000]",47850.5,0.3532666666666667
"(48000, 48300]",48150.5,0.33913333333333334
"(48300, 48600]",48450.5,0.3545333333333333
"(48600, 48900]",48750.5,0.35756666666666664
"(48900, 49200]",49050.5,0.3540333333333333
"(49200, 49500]",49350.5,0.35756666666666664
"(49500, 49800]",49650.5,0.34853333333333336
"(49800, 50100]",49950.5,0.35496666666666665
"(50100, 50400]",50250.5,0.36843333333333333
"(50400, 50700]",50550.5,0.3616333333333333
"(50700, 51000]",50850.5,0.35533333333333333
"(51000, 51300]",51150.5,0.36573333333333335
"(51300, 51600]",51450.5,0.35513333333333336
"(51600, 51900]",51750.5,0.3415333333333333
"(51900, 52200]",52050.5,0.3620666666666667
"(52200, 52500]",52350.5,0.36810000000000004
"(52500, 52800]",52650.5,0.351
