bin,Step Time,Average Relative Speed
"(0, 900]",450.5,0.3906444444444444
"(900, 1800]",1350.5,0.39257777777777775
"(1800, 2700]",2250.5,0.4070333333333333
"(2700, 3600]",3150.5,0.39495555555555556
"(3600, 4500]",4050.5,0.4113777777777778
"(4500, 5400]",4950.5,0.4101222222222222
"(5400, 6300]",5850.5,0.4031
"(6300, 7200]",6750.5,0.4098333333333334
"(7200, 8100]",7650.5,0.37441111111111114
"(8100, 9000]",8550.5,0.3792777777777778
"(9000, 9900]",9450.5,0.3771
"(9900, 10800]",10350.5,0.3788777777777778
"(10800, 11700]",11250.5,0.36327777777777776
"(11700, 12600]",12150.5,0.3689222222222222
"(12600, 13500]",13050.5,0.36548888888888886
"(13500, 14400]",13950.5,0.3638222222222222
"(14400, 15300]",14850.5,0.35852222222222224
"(15300, 16200]",15750.5,0.3648
"(16200, 17100]",16650.5,0.36833333333333335
"(17100, 18000]",17550.5,0.3718666666666667
"(18000, 18900]",18450.5,0.37195555555555554
"(18900, 19800]",19350.5,0.3761666666666667
"(19800, 20700]",20250.5,0.38495555555555555
"(20700, 21600]",21150.5,0.37081111111111115
"(21600, 22500]",22050.5,0.3622777777777778
"(22500, 23400]",22950.5,0.3703111111111111
"(23400, 24300]",23850.5,0.3734333333333333
"(24300, 25200]",24750.5,0.3756333333333333
"(25200, 26100]",25650.5,0.3686888888888889
"(26100, 27000]",26550.5,0.3740666666666667
"(27000, 27900]",27450.5,0.36796666666666666
"(27900, 28800]",28350.5,0.3688888888888889
"(28800, 29700]",29250.5,0.34454444444444443
"(29700, 30600]",30150.5,0.3605777777777778
"(30600, 31500]",31050.5,0.35646666666666665
"(31500, 32400]",31950.5,0.35654444444444444
"(32400, 33300]",32850.5,0.3579333333333333
"(33300, 34200]",33750.5,0.3552222222222222
"(34200, 35100]",34650.5,0.3586888888888889
"(35100, 36000]",35550.5,0.35438888888888886
"(36000, 36900]",36450.5,0.3560777777777778
"(36900, 37800]",37350.5,0.3543555555555556
"(37800, 38700]",38250.5,0.35373333333333334
"(38700, 39600]",39150.5,0.3575222222222222
"(39600, 40500]",40050.5,0.35833333333333334
"(40500, 41400]",40950.5,0.3693111111111111
"(41400, 42300]",41850.5,0.3733444444444444
"(42300, 43200]",42750.5,0.3706777777777778
"(43200, 44100]",43650.5,0.3590555555555555
"(44100, 45000]",44550.5,0.3525333333333333
"(45000, 45900]",45450.5,0.35557777777777777
"(45900, 46800]",46350.5,0.35148888888888885
"(46800, 47700]",47250.5,0.34925555555555554
"(47700, 48600]",48150.5,0.3489777777777778
"(48600, 49500]",49050.5,0.35638888888888887
"(49500, 50400]",49950.5,0.3573111111111111
"(50400, 51300]",50850.5,0.3609
"(51300, 52200]",51750.5,0.3529111111111111
"(52200, 53100]",52650.5,0.35503333333333337
"(53100, 54000]",53550.5,0.35221111111111114
