bin,Step Time,Average Relative Speed
"(0, 900]",450.5,0.4007111111111111
"(900, 1800]",1350.5,0.42064444444444443
"(1800, 2700]",2250.5,0.3973777777777778
"(2700, 3600]",3150.5,0.38008888888888887
"(3600, 4500]",4050.5,0.3867333333333333
"(4500, 5400]",4950.5,0.37256666666666666
"(5400, 6300]",5850.5,0.39364444444444446
"(6300, 7200]",6750.5,0.38901111111111114
"(7200, 8100]",7650.5,0.35438888888888886
"(8100, 9000]",8550.5,0.36610000000000004
"(9000, 9900]",9450.5,0.36117777777777776
"(9900, 10800]",10350.5,0.36004444444444444
"(10800, 11700]",11250.5,0.3545111111111111
"(11700, 12600]",12150.5,0.35335555555555553
"(12600, 13500]",13050.5,0.3557888888888889
"(13500, 14400]",13950.5,0.36073333333333335
"(14400, 15300]",14850.5,0.35402222222222224
"(15300, 16200]",15750.5,0.3542777777777778
"(16200, 17100]",16650.5,0.3527555555555556
"(17100, 18000]",17550.5,0.3539
"(18000, 18900]",18450.5,0.36265555555555556
"(18900, 19800]",19350.5,0.35492222222222225
"(19800, 20700]",20250.5,0.3602222222222222
"(20700, 21600]",21150.5,0.3562444444444445
"(21600, 22500]",22050.5,0.3555
"(22500, 23400]",22950.5,0.36175555555555555
"(23400, 24300]",23850.5,0.3620666666666667
"(24300, 25200]",24750.5,0.3623
"(25200, 26100]",25650.5,0.3645
"(26100, 27000]",26550.5,0.35558888888888884
"(27000, 27900]",27450.5,0.34925555555555554
"(27900, 28800]",28350.5,0.35485555555555554
"(28800, 29700]",29250.5,0.33691111111111116
"(29700, 30600]",30150.5,0.3475111111111111
"(30600, 31500]",31050.5,0.33971111111111113
"(31500, 32400]",31950.5,0.34725555555555554
"(32400, 33300]",32850.5,0.34255555555555556
"(33300, 34200]",33750.5,0.34323333333333333
"(34200, 35100]",34650.5,0.34040000000000004
"(35100, 36000]",35550.5,0.34702222222222223
"(36000, 36900]",36450.5,0.3416222222222222
"(36900, 37800]",37350.5,0.34415555555555555
"(37800, 38700]",38250.5,0.34580000000000005
"(38700, 39600]",39150.5,0.34978888888888887
"(39600, 40500]",40050.5,0.34596666666666664
"(40500, 41400]",40950.5,0.3529444444444444
"(41400, 42300]",41850.5,0.3475333333333333
"(42300, 43200]",42750.5,0.3513
"(43200, 44100]",43650.5,0.3407222222222222
"(44100, 45000]",44550.5,0.3419
"(45000, 45900]",45450.5,0.33786666666666665
"(45900, 46800]",46350.5,0.3416
"(46800, 47700]",47250.5,0.3438888888888889
"(47700, 48600]",48150.5,0.3456222222222222
"(48600, 49500]",49050.5,0.34204444444444443
"(49500, 50400]",49950.5,0.34294444444444444
"(50400, 51300]",50850.5,0.3407555555555556
"(51300, 52200]",51750.5,0.34963333333333335
"(52200, 53100]",52650.5,0.33672222222222226
"(53100, 54000]",53550.5,0.33394444444444443
