bin,Step Time,Average Speed
"(0, 900]",450.5,11.941244444444445
"(900, 1800]",1350.5,11.6059
"(1800, 2700]",2250.5,11.590633333333333
"(2700, 3600]",3150.5,12.403744444444445
"(3600, 4500]",4050.5,11.40778888888889
"(4500, 5400]",4950.5,11.780888888888889
"(5400, 6300]",5850.5,11.511244444444445
"(6300, 7200]",6750.5,11.400733333333333
"(7200, 8100]",7650.5,10.255588888888889
"(8100, 9000]",8550.5,10.28938888888889
"(9000, 9900]",9450.5,10.530899999999999
"(9900, 10800]",10350.5,10.429144444444445
"(10800, 11700]",11250.5,9.802188888888889
"(11700, 12600]",12150.5,9.971388888888889
"(12600, 13500]",13050.5,10.0167
"(13500, 14400]",13950.5,10.017188888888889
"(14400, 15300]",14850.5,9.986500000000001
"(15300, 16200]",15750.5,10.114144444444443
"(16200, 17100]",16650.5,10.074222222222222
"(17100, 18000]",17550.5,10.120655555555556
"(18000, 18900]",18450.5,9.988988888888889
"(18900, 19800]",19350.5,10.092611111111111
"(19800, 20700]",20250.5,10.2055
"(20700, 21600]",21150.5,10.061866666666667
"(21600, 22500]",22050.5,10.049233333333333
"(22500, 23400]",22950.5,10.081766666666667
"(23400, 24300]",23850.5,9.9754
"(24300, 25200]",24750.5,10.114055555555556
"(25200, 26100]",25650.5,9.850644444444445
"(26100, 27000]",26550.5,10.0696
"(27000, 27900]",27450.5,10.090633333333333
"(27900, 28800]",28350.5,10.012155555555555
"(28800, 29700]",29250.5,9.36341111111111
"(29700, 30600]",30150.5,9.489611111111111
"(30600, 31500]",31050.5,9.4337
"(31500, 32400]",31950.5,9.609499999999999
"(32400, 33300]",32850.5,9.649022222222223
"(33300, 34200]",33750.5,9.548911111111112
"(34200, 35100]",34650.5,9.645011111111112
"(35100, 36000]",35550.5,9.4798
"(36000, 36900]",36450.5,9.429755555555555
"(36900, 37800]",37350.5,9.539966666666666
"(37800, 38700]",38250.5,9.477588888888889
"(38700, 39600]",39150.5,9.761977777777778
"(39600, 40500]",40050.5,9.747255555555556
"(40500, 41400]",40950.5,9.764855555555556
"(41400, 42300]",41850.5,9.830355555555554
"(42300, 43200]",42750.5,9.668366666666667
"(43200, 44100]",43650.5,9.621211111111112
"(44100, 45000]",44550.5,9.508177777777778
"(45000, 45900]",45450.5,9.578755555555555
"(45900, 46800]",46350.5,9.517055555555556
"(46800, 47700]",47250.5,9.3701
"(47700, 48600]",48150.5,9.530777777777779
"(48600, 49500]",49050.5,9.364266666666667
"(49500, 50400]",49950.5,9.436333333333334
"(50400, 51300]",50850.5,9.5242
"(51300, 52200]",51750.5,9.284111111111113
"(52200, 53100]",52650.5,9.464255555555555
"(53100, 54000]",53550.5,9.37058888888889
