bin,Step Time,Average Speed
"(0, 600]",300.5,10.19605
"(600, 1200]",900.5,11.4784
"(1200, 1800]",1500.5,10.066966666666668
"(1800, 2400]",2100.5,11.0922
"(2400, 3000]",2700.5,11.113383333333333
"(3000, 3600]",3300.5,10.362083333333333
"(3600, 4200]",3900.5,11.130383333333333
"(4200, 4800]",4500.5,11.225616666666667
"(4800, 5400]",5100.5,11.072133333333333
"(5400, 6000]",5700.5,10.777016666666666
"(6000, 6600]",6300.5,11.03015
"(6600, 7200]",6900.5,11.266
"(7200, 7800]",7500.5,10.044516666666667
"(7800, 8400]",8100.5,10.332133333333333
"(8400, 9000]",8700.5,10.2814
"(9000, 9600]",9300.5,10.23025
"(9600, 10200]",9900.5,10.198133333333333
"(10200, 10800]",10500.5,10.330783333333335
"(10800, 11400]",11100.5,9.78575
"(11400, 12000]",11700.5,9.9988
"(12000, 12600]",12300.5,9.9849
"(12600, 13200]",12900.5,9.870333333333333
"(13200, 13800]",13500.5,9.874466666666667
"(13800, 14400]",14100.5,9.911700000000002
"(14400, 15000]",14700.5,9.8221
"(15000, 15600]",15300.5,9.870866666666668
"(15600, 16200]",15900.5,9.78785
"(16200, 16800]",16500.5,10.145366666666668
"(16800, 17400]",17100.5,9.885516666666668
"(17400, 18000]",17700.5,10.124233333333333
"(18000, 18600]",18300.5,9.949116666666667
"(18600, 19200]",18900.5,10.26915
"(19200, 19800]",19500.5,10.2068
"(19800, 20400]",20100.5,10.465266666666666
"(20400, 21000]",20700.5,10.149816666666668
"(21000, 21600]",21300.5,10.117600000000001
"(21600, 22200]",21900.5,9.83695
"(22200, 22800]",22500.5,9.839066666666666
"(22800, 23400]",23100.5,10.10715
"(23400, 24000]",23700.5,10.1699
"(24000, 24600]",24300.5,9.958733333333333
"(24600, 25200]",24900.5,10.335116666666666
"(25200, 25800]",25500.5,9.93465
"(25800, 26400]",26100.5,10.098983333333335
"(26400, 27000]",26700.5,9.945533333333334
"(27000, 27600]",27300.5,9.856433333333333
"(27600, 28200]",27900.5,10.016416666666668
"(28200, 28800]",28500.5,9.8657
"(28800, 29400]",29100.5,9.160683333333333
"(29400, 30000]",29700.5,9.732383333333333
"(30000, 30600]",30300.5,9.615483333333334
"(30600, 31200]",30900.5,9.713216666666668
"(31200, 31800]",31500.5,9.503
"(31800, 32400]",32100.5,9.61405
"(32400, 33000]",32700.5,9.4316
"(33000, 33600]",33300.5,9.717433333333334
"(33600, 34200]",33900.5,9.72035
"(34200, 34800]",34500.5,9.682116666666667
"(34800, 35400]",35100.5,9.469816666666667
"(35400, 36000]",35700.5,9.6914
"(36000, 36600]",36300.5,9.5293
"(36600, 37200]",36900.5,9.627766666666666
"(37200, 37800]",37500.5,9.590416666666666
"(37800, 38400]",38100.5,9.484866666666667
"(38400, 39000]",38700.5,9.595333333333333
"(39000, 39600]",39300.5,9.696766666666667
"(39600, 40200]",39900.5,9.627650000000001
"(40200, 40800]",40500.5,9.945533333333334
"(40800, 41400]",41100.5,9.920383333333332
"(41400, 42000]",41700.5,9.9627
"(42000, 42600]",42300.5,10.2159
"(42600, 43200]",42900.5,10.001933333333334
"(43200, 43800]",43500.5,9.622300000000001
"(43800, 44400]",44100.5,9.7439
"(44400, 45000]",44700.5,9.38345
"(45000, 45600]",45300.5,9.538566666666668
"(45600, 46200]",45900.5,9.587733333333334
"(46200, 46800]",46500.5,9.4502
"(46800, 47400]",47100.5,9.387416666666667
"(47400, 48000]",47700.5,9.435766666666666
"(48000, 48600]",48300.5,9.3043
"(48600, 49200]",48900.5,9.553133333333333
"(49200, 49800]",49500.5,9.483966666666667
"(49800, 50400]",50100.5,9.709616666666667
"(50400, 51000]",50700.5,9.615983333333334
"(51000, 51600]",51300.5,9.641883333333334
"(51600, 52200]",51900.5,9.405683333333332
"(52200, 52800]",52500.5,9.613333333333333
"(52800, 53400]",53100.5,9.3414
"(53400, 54000]",53700.5,9.400166666666667
