bin,Step Time,Average Speed
"(0, 300]",150.5,10.079166666666667
"(300, 600]",450.5,10.312933333333334
"(600, 900]",750.5,11.270166666666666
"(900, 1200]",1050.5,11.686633333333333
"(1200, 1500]",1350.5,10.494933333333334
"(1500, 1800]",1650.5,9.639
"(1800, 2100]",1950.5,10.841966666666668
"(2100, 2400]",2250.5,11.342433333333334
"(2400, 2700]",2550.5,10.8896
"(2700, 3000]",2850.5,11.337166666666667
"(3000, 3300]",3150.5,10.9375
"(3300, 3600]",3450.5,9.786666666666667
"(3600, 3900]",3750.5,10.611
"(3900, 4200]",4050.5,11.649766666666666
"(4200, 4500]",4350.5,11.2307
"(4500, 4800]",4650.5,11.220533333333332
"(4800, 5100]",4950.5,10.874133333333333
"(5100, 5400]",5250.5,11.270133333333334
"(5400, 5700]",5550.5,10.395433333333333
"(5700, 6000]",5850.5,11.1586
"(6000, 6300]",6150.5,11.232266666666666
"(6300, 6600]",6450.5,10.828033333333332
"(6600, 6900]",6750.5,11.077633333333333
"(6900, 7200]",7050.5,11.454366666666667
"(7200, 7500]",7350.5,9.851466666666667
"(7500, 7800]",7650.5,10.237566666666666
"(7800, 8100]",7950.5,10.351799999999999
"(8100, 8400]",8250.5,10.312466666666666
"(8400, 8700]",8550.5,10.3207
"(8700, 9000]",8850.5,10.2421
"(9000, 9300]",9150.5,10.2409
"(9300, 9600]",9450.5,10.2196
"(9600, 9900]",9750.5,10.215833333333334
"(9900, 10200]",10050.5,10.180433333333333
"(10200, 10500]",10350.5,10.464266666666667
"(10500, 10800]",10650.5,10.1973
"(10800, 11100]",10950.5,9.485433333333333
"(11100, 11400]",11250.5,10.086066666666667
"(11400, 11700]",11550.5,9.964233333333333
"(11700, 12000]",11850.5,10.033366666666668
"(12000, 12300]",12150.5,9.909233333333333
"(12300, 12600]",12450.5,10.060566666666666
"(12600, 12900]",12750.5,9.966966666666668
"(12900, 13200]",13050.5,9.7737
"(13200, 13500]",13350.5,9.981900000000001
"(13500, 13800]",13650.5,9.767033333333334
"(13800, 14100]",13950.5,9.839699999999999
"(14100, 14400]",14250.5,9.9837
"(14400, 14700]",14550.5,9.559133333333333
"(14700, 15000]",14850.5,10.085066666666666
"(15000, 15300]",15150.5,9.572033333333334
"(15300, 15600]",15450.5,10.169699999999999
"(15600, 15900]",15750.5,9.7307
"(15900, 16200]",16050.5,9.845
"(16200, 16500]",16350.5,9.9104
"(16500, 16800]",16650.5,10.380333333333333
"(16800, 17100]",16950.5,9.721133333333334
"(17100, 17400]",17250.5,10.0499
"(17400, 17700]",17550.5,10.183833333333334
"(17700, 18000]",17850.5,10.064633333333333
"(18000, 18300]",18150.5,9.901
"(18300, 18600]",18450.5,9.997233333333334
"(18600, 18900]",18750.5,10.360899999999999
"(18900, 19200]",19050.5,10.177399999999999
"(19200, 19500]",19350.5,10.174866666666667
"(19500, 19800]",19650.5,10.238733333333332
"(19800, 20100]",19950.5,10.361833333333333
"(20100, 20400]",20250.5,10.5687
"(20400, 20700]",20550.5,10.364333333333335
"(20700, 21000]",20850.5,9.9353
"(21000, 21300]",21150.5,10.114366666666667
"(21300, 21600]",21450.5,10.120833333333334
"(21600, 21900]",21750.5,9.565033333333334
"(21900, 22200]",22050.5,10.108866666666666
"(22200, 22500]",22350.5,9.773633333333335
"(22500, 22800]",22650.5,9.9045
"(22800, 23100]",22950.5,10.055733333333333
"(23100, 23400]",23250.5,10.158566666666667
"(23400, 23700]",23550.5,10.185366666666667
"(23700, 24000]",23850.5,10.154433333333333
"(24000, 24300]",24150.5,10.040533333333332
"(24300, 24600]",24450.5,9.876933333333334
"(24600, 24900]",24750.5,10.194633333333332
"(24900, 25200]",25050.5,10.4756
"(25200, 25500]",25350.5,9.771533333333334
"(25500, 25800]",25650.5,10.097766666666667
"(25800, 26100]",25950.5,9.890566666666667
"(26100, 26400]",26250.5,10.3074
"(26400, 26700]",26550.5,9.822266666666666
"(26700, 27000]",26850.5,10.0688
"(27000, 27300]",27150.5,9.7145
"(27300, 27600]",27450.5,9.998366666666668
"(27600, 27900]",27750.5,9.999733333333333
"(27900, 28200]",28050.5,10.0331
"(28200, 28500]",28350.5,9.822033333333334
"(28500, 28800]",28650.5,9.909366666666667
"(28800, 29100]",28950.5,8.977433333333334
"(29100, 29400]",29250.5,9.343933333333332
"(29400, 29700]",29550.5,9.5302
"(29700, 30000]",29850.5,9.934566666666667
"(30000, 30300]",30150.5,9.493599999999999
"(30300, 30600]",30450.5,9.737366666666667
"(30600, 30900]",30750.5,9.824766666666665
"(30900, 31200]",31050.5,9.601666666666667
"(31200, 31500]",31350.5,9.407366666666666
"(31500, 31800]",31650.5,9.598633333333334
"(31800, 32100]",31950.5,9.4694
"(32100, 32400]",32250.5,9.758700000000001
"(32400, 32700]",32550.5,9.2191
