bin,Step Time,Average Speed
"(0, 600]",300.5,10.418666666666667
"(600, 1200]",900.5,11.224400000000001
"(1200, 1800]",1500.5,11.673033333333333
"(1800, 2400]",2100.5,11.134583333333333
"(2400, 3000]",2700.5,10.149033333333334
"(3000, 3600]",3300.5,10.269233333333334
"(3600, 4200]",3900.5,10.314433333333334
"(4200, 4800]",4500.5,10.3055
"(4800, 5400]",5100.5,10.262033333333333
"(5400, 6000]",5700.5,10.695733333333333
"(6000, 6600]",6300.5,10.321966666666667
"(6600, 7200]",6900.5,10.80525
"(7200, 7800]",7500.5,9.544083333333333
"(7800, 8400]",8100.5,9.957916666666666
"(8400, 9000]",8700.5,9.797683333333334
"(9000, 9600]",9300.5,9.746233333333333
"(9600, 10200]",9900.5,9.775633333333333
"(10200, 10800]",10500.5,9.815150000000001
"(10800, 11400]",11100.5,9.610016666666667
"(11400, 12000]",11700.5,9.573816666666666
"(12000, 12600]",12300.5,9.594683333333334
"(12600, 13200]",12900.5,9.643316666666665
"(13200, 13800]",13500.5,9.618666666666666
"(13800, 14400]",14100.5,9.870033333333334
"(14400, 15000]",14700.5,9.57645
"(15000, 15600]",15300.5,9.687433333333333
"(15600, 16200]",15900.5,9.58775
"(16200, 16800]",16500.5,9.592516666666667
"(16800, 17400]",17100.5,9.537433333333333
"(17400, 18000]",17700.5,9.661716666666667
"(18000, 18600]",18300.5,9.62925
"(18600, 19200]",18900.5,9.860949999999999
"(19200, 19800]",19500.5,9.690166666666668
"(19800, 20400]",20100.5,9.771133333333333
"(20400, 21000]",20700.5,9.609033333333333
"(21000, 21600]",21300.5,9.75895
"(21600, 22200]",21900.5,9.670833333333333
"(22200, 22800]",22500.5,9.771483333333334
"(22800, 23400]",23100.5,9.72085
"(23400, 24000]",23700.5,9.866533333333333
"(24000, 24600]",24300.5,9.881133333333334
"(24600, 25200]",24900.5,9.707333333333333
"(25200, 25800]",25500.5,9.7365
"(25800, 26400]",26100.5,9.6622
"(26400, 27000]",26700.5,9.678183333333333
"(27000, 27600]",27300.5,9.472066666666667
"(27600, 28200]",27900.5,9.236
"(28200, 28800]",28500.5,9.7034
"(28800, 29400]",29100.5,8.913566666666668
"(29400, 30000]",29700.5,9.40325
"(30000, 30600]",30300.5,9.337233333333334
"(30600, 31200]",30900.5,9.2027
"(31200, 31800]",31500.5,9.2104
"(31800, 32400]",32100.5,9.360133333333334
"(32400, 33000]",32700.5,9.13795
"(33000, 33600]",33300.5,9.262316666666667
"(33600, 34200]",33900.5,9.350316666666666
"(34200, 34800]",34500.5,9.129950000000001
"(34800, 35400]",35100.5,9.30795
"(35400, 36000]",35700.5,9.363133333333334
"(36000, 36600]",36300.5,9.162816666666666
"(36600, 37200]",36900.5,9.306433333333333
"(37200, 37800]",37500.5,9.276066666666667
"(37800, 38400]",38100.5,9.424966666666666
"(38400, 39000]",38700.5,9.286999999999999
"(39000, 39600]",39300.5,9.433116666666667
"(39600, 40200]",39900.5,9.268083333333333
"(40200, 40800]",40500.5,9.422566666666667
"(40800, 41400]",41100.5,9.641533333333333
"(41400, 42000]",41700.5,9.390616666666666
"(42000, 42600]",42300.5,9.45215
"(42600, 43200]",42900.5,9.472916666666666
"(43200, 43800]",43500.5,9.177383333333333
"(43800, 44400]",44100.5,9.04145
"(44400, 45000]",44700.5,9.357816666666666
"(45000, 45600]",45300.5,9.035516666666668
"(45600, 46200]",45900.5,9.136000000000001
"(46200, 46800]",46500.5,9.27715
"(46800, 47400]",47100.5,9.133816666666666
"(47400, 48000]",47700.5,9.31555
"(48000, 48600]",48300.5,9.33295
"(48600, 49200]",48900.5,9.202966666666667
"(49200, 49800]",49500.5,9.238183333333334
"(49800, 50400]",50100.5,9.141616666666668
"(50400, 51000]",50700.5,9.1284
"(51000, 51600]",51300.5,9.158533333333333
"(51600, 52200]",51900.5,9.450616666666667
"(52200, 52800]",52500.5,8.999316666666667
"(52800, 53400]",53100.5,8.933816666666667
"(53400, 54000]",53700.5,8.9613
