bin,Step Time,Average Travel Time
"(0, 900]",450.5,46.12096666666667
"(900, 1800]",1350.5,47.49174444444444
"(1800, 2700]",2250.5,47.65662222222222
"(2700, 3600]",3150.5,47.52085555555555
"(3600, 4500]",4050.5,48.096777777777774
"(4500, 5400]",4950.5,48.60184444444444
"(5400, 6300]",5850.5,48.90113333333333
"(6300, 7200]",6750.5,49.07438888888888
"(7200, 8100]",7650.5,50.039966666666665
"(8100, 9000]",8550.5,51.34698888888889
"(9000, 9900]",9450.5,52.093488888888885
"(9900, 10800]",10350.5,52.53271111111111
"(10800, 11700]",11250.5,53.095777777777776
"(11700, 12600]",12150.5,53.709511111111105
"(12600, 13500]",13050.5,54.110644444444446
"(13500, 14400]",13950.5,54.37052222222222
"(14400, 15300]",14850.5,54.693933333333334
"(15300, 16200]",15750.5,54.962888888888884
"(16200, 17100]",16650.5,55.20812222222222
"(17100, 18000]",17550.5,55.397733333333335
"(18000, 18900]",18450.5,55.542366666666666
"(18900, 19800]",19350.5,55.60152222222222
"(19800, 20700]",20250.5,55.62036666666667
"(20700, 21600]",21150.5,55.657111111111114
"(21600, 22500]",22050.5,55.713100000000004
"(22500, 23400]",22950.5,55.72017777777777
"(23400, 24300]",23850.5,55.74287777777777
"(24300, 25200]",24750.5,55.76938888888889
"(25200, 26100]",25650.5,55.714733333333335
"(26100, 27000]",26550.5,55.573677777777775
"(27000, 27900]",27450.5,55.41694444444445
"(27900, 28800]",28350.5,55.287200000000006
"(28800, 29700]",29250.5,55.21564444444444
"(29700, 30600]",30150.5,55.22293333333333
"(30600, 31500]",31050.5,55.21196666666666
"(31500, 32400]",31950.5,55.207344444444445
"(32400, 33300]",32850.5,55.19288888888889
"(33300, 34200]",33750.5,55.181177777777776
"(34200, 35100]",34650.5,55.18434444444444
"(35100, 36000]",35550.5,55.18548888888889
"(36000, 36900]",36450.5,55.19918888888889
"(36900, 37800]",37350.5,55.204011111111114
"(37800, 38700]",38250.5,55.226099999999995
"(38700, 39600]",39150.5,55.21783333333334
"(39600, 40500]",40050.5,55.19851111111112
"(40500, 41400]",40950.5,55.19455555555555
"(41400, 42300]",41850.5,55.1926
"(42300, 43200]",42750.5,55.193422222222225
"(43200, 44100]",43650.5,55.17826666666667
"(44100, 45000]",44550.5,55.15403333333333
"(45000, 45900]",45450.5,55.134933333333336
"(45900, 46800]",46350.5,55.116566666666664
"(46800, 47700]",47250.5,55.09676666666667
"(47700, 48600]",48150.5,55.05917777777778
"(48600, 49500]",49050.5,55.02372222222222
"(49500, 50400]",49950.5,54.9917
"(50400, 51300]",50850.5,54.95151111111111
"(51300, 52200]",51750.5,54.891099999999994
"(52200, 53100]",52650.5,54.81742222222222
"(53100, 54000]",53550.5,54.74675555555556
