bin,Step Time,Average Travel Time
"(0, 900]",450.5,47.904088888888886
"(900, 1800]",1350.5,50.525755555555556
"(1800, 2700]",2250.5,51.155
"(2700, 3600]",3150.5,50.84663333333334
"(3600, 4500]",4050.5,51.33047777777778
"(4500, 5400]",4950.5,51.395244444444444
"(5400, 6300]",5850.5,51.62653333333333
"(6300, 7200]",6750.5,51.75544444444444
"(7200, 8100]",7650.5,52.41426666666666
"(8100, 9000]",8550.5,53.31865555555556
"(9000, 9900]",9450.5,53.890188888888886
"(9900, 10800]",10350.5,54.3259
"(10800, 11700]",11250.5,54.77053333333334
"(11700, 12600]",12150.5,55.06482222222222
"(12600, 13500]",13050.5,55.354277777777774
"(13500, 14400]",13950.5,55.60657777777777
"(14400, 15300]",14850.5,55.91288888888889
"(15300, 16200]",15750.5,56.22107777777778
"(16200, 17100]",16650.5,56.43721111111111
"(17100, 18000]",17550.5,56.58062222222222
"(18000, 18900]",18450.5,56.66182222222222
"(18900, 19800]",19350.5,56.61244444444444
"(19800, 20700]",20250.5,56.52556666666667
"(20700, 21600]",21150.5,56.47228888888888
"(21600, 22500]",22050.5,56.5271
"(22500, 23400]",22950.5,56.548111111111105
"(23400, 24300]",23850.5,56.53055555555556
"(24300, 25200]",24750.5,56.503822222222226
"(25200, 26100]",25650.5,56.40406666666667
"(26100, 27000]",26550.5,56.231722222222224
"(27000, 27900]",27450.5,56.08935555555556
"(27900, 28800]",28350.5,55.94522222222222
"(28800, 29700]",29250.5,55.88720000000001
"(29700, 30600]",30150.5,55.84524444444445
"(30600, 31500]",31050.5,55.77644444444445
"(31500, 32400]",31950.5,55.73428888888889
"(32400, 33300]",32850.5,55.71216666666666
"(33300, 34200]",33750.5,55.68470000000001
"(34200, 35100]",34650.5,55.657000000000004
"(35100, 36000]",35550.5,55.64648888888888
"(36000, 36900]",36450.5,55.64204444444444
"(36900, 37800]",37350.5,55.62003333333333
"(37800, 38700]",38250.5,55.61061111111111
"(38700, 39600]",39150.5,55.59457777777778
"(39600, 40500]",40050.5,55.600566666666666
"(40500, 41400]",40950.5,55.573566666666665
"(41400, 42300]",41850.5,55.53138888888889
"(42300, 43200]",42750.5,55.47804444444444
"(43200, 44100]",43650.5,55.44325555555555
"(44100, 45000]",44550.5,55.405722222222224
"(45000, 45900]",45450.5,55.38301111111111
"(45900, 46800]",46350.5,55.365877777777776
"(46800, 47700]",47250.5,55.33822222222222
"(47700, 48600]",48150.5,55.304566666666666
"(48600, 49500]",49050.5,55.261744444444446
"(49500, 50400]",49950.5,55.21024444444445
"(50400, 51300]",50850.5,55.1436
"(51300, 52200]",51750.5,55.06644444444445
"(52200, 53100]",52650.5,54.98096666666667
"(53100, 54000]",53550.5,54.904155555555555
