bin,Step Time,Average Travel Time
"(0, 300]",150.5,42.38793333333333
"(300, 600]",450.5,50.472899999999996
"(600, 900]",750.5,50.85143333333333
"(900, 1200]",1050.5,50.30236666666667
"(1200, 1500]",1350.5,50.31373333333334
"(1500, 1800]",1650.5,50.96116666666667
"(1800, 2100]",1950.5,51.17123333333333
"(2100, 2400]",2250.5,51.1338
"(2400, 2700]",2550.5,51.15996666666667
"(2700, 3000]",2850.5,50.89913333333333
"(3000, 3300]",3150.5,50.75686666666667
"(3300, 3600]",3450.5,50.8839
"(3600, 3900]",3750.5,51.34456666666667
"(3900, 4200]",4050.5,51.3192
"(4200, 4500]",4350.5,51.327666666666666
"(4500, 4800]",4650.5,51.3531
"(4800, 5100]",4950.5,51.37623333333334
"(5100, 5400]",5250.5,51.4564
"(5400, 5700]",5550.5,51.5103
"(5700, 6000]",5850.5,51.67993333333333
"(6000, 6300]",6150.5,51.689366666666665
"(6300, 6600]",6450.5,51.687466666666666
"(6600, 6900]",6750.5,51.763466666666666
"(6900, 7200]",7050.5,51.815400000000004
"(7200, 7500]",7350.5,52.02676666666667
"(7500, 7800]",7650.5,52.4542
"(7800, 8100]",7950.5,52.76183333333333
"(8100, 8400]",8250.5,53.061233333333334
"(8400, 8700]",8550.5,53.33866666666667
"(8700, 9000]",8850.5,53.556066666666666
"(9000, 9300]",9150.5,53.716233333333335
"(9300, 9600]",9450.5,53.88923333333334
"(9600, 9900]",9750.5,54.0651
"(9900, 10200]",10050.5,54.210233333333335
"(10200, 10500]",10350.5,54.333933333333334
"(10500, 10800]",10650.5,54.43353333333333
"(10800, 11100]",10950.5,54.59596666666667
"(11100, 11400]",11250.5,54.816100000000006
"(11400, 11700]",11550.5,54.89953333333334
"(11700, 12000]",11850.5,54.979600000000005
"(12000, 12300]",12150.5,55.048966666666665
"(12300, 12600]",12450.5,55.1659
"(12600, 12900]",12750.5,55.25066666666667
"(12900, 13200]",13050.5,55.35893333333333
"(13200, 13500]",13350.5,55.45323333333334
"(13500, 13800]",13650.5,55.49889999999999
"(13800, 14100]",13950.5,55.62526666666666
"(14100, 14400]",14250.5,55.69556666666666
"(14400, 14700]",14550.5,55.77376666666667
"(14700, 15000]",14850.5,55.91576666666666
"(15000, 15300]",15150.5,56.04913333333334
"(15300, 15600]",15450.5,56.13903333333333
"(15600, 15900]",15750.5,56.20506666666667
"(15900, 16200]",16050.5,56.31913333333334
"(16200, 16500]",16350.5,56.401633333333336
"(16500, 16800]",16650.5,56.4366
"(16800, 17100]",16950.5,56.4734
"(17100, 17400]",17250.5,56.54496666666666
"(17400, 17700]",17550.5,56.584466666666664
"(17700, 18000]",17850.5,56.612433333333335
"(18000, 18300]",18150.5,56.64243333333333
"(18300, 18600]",18450.5,56.682700000000004
"(18600, 18900]",18750.5,56.66033333333333
"(18900, 19200]",19050.5,56.62756666666667
"(19200, 19500]",19350.5,56.61913333333332
"(19500, 19800]",19650.5,56.59063333333333
"(19800, 20100]",19950.5,56.567899999999995
"(20100, 20400]",20250.5,56.5226
"(20400, 20700]",20550.5,56.486200000000004
"(20700, 21000]",20850.5,56.46933333333333
"(21000, 21300]",21150.5,56.467466666666674
"(21300, 21600]",21450.5,56.480066666666666
"(21600, 21900]",21750.5,56.511399999999995
"(21900, 22200]",22050.5,56.53186666666667
"(22200, 22500]",22350.5,56.53803333333333
"(22500, 22800]",22650.5,56.548566666666666
"(22800, 23100]",22950.5,56.549499999999995
"(23100, 23400]",23250.5,56.54626666666667
"(23400, 23700]",23550.5,56.55116666666666
"(23700, 24000]",23850.5,56.53013333333334
"(24000, 24300]",24150.5,56.51036666666667
"(24300, 24600]",24450.5,56.510033333333325
"(24600, 24900]",24750.5,56.51153333333333
"(24900, 25200]",25050.5,56.489900000000006
"(25200, 25500]",25350.5,56.460366666666665
"(25500, 25800]",25650.5,56.406733333333335
"(25800, 26100]",25950.5,56.345099999999995
"(26100, 26400]",26250.5,56.29136666666667
"(26400, 26700]",26550.5,56.229533333333336
"(26700, 27000]",26850.5,56.17426666666666
"(27000, 27300]",27150.5,56.13526666666667
"(27300, 27600]",27450.5,56.0902
"(27600, 27900]",27750.5,56.04259999999999
"(27900, 28200]",28050.5,55.98713333333333
"(28200, 28500]",28350.5,55.94103333333334
"(28500, 28800]",28650.5,55.9075
"(28800, 29100]",28950.5,55.88016666666667
"(29100, 29400]",29250.5,55.88976666666667
"(29400, 29700]",29550.5,55.891666666666666
"(29700, 30000]",29850.5,55.869600000000005
"(30000, 30300]",30150.5,55.8425
"(30300, 30600]",30450.5,55.82363333333333
"(30600, 30900]",30750.5,55.7974
"(30900, 31200]",31050.5,55.773300000000006
"(31200, 31500]",31350.5,55.758633333333336
"(31500, 31800]",31650.5,55.748533333333334
"(31800, 32100]",31950.5,55.73123333333333
"(32100, 32400]",32250.5,55.7231
"(32400, 32700]",32550.5,55.71776666666666
"(32700, 33000]",32850.5,55.7147
"(33000, 33300]",33150.5,55.70403333333333
"(33300, 33600]",33450.5,55.68866666666666
"(33600, 33900]",33750.5,55.68403333333333
"(33900, 34200]",34050.5,55.6814
"(34200, 34500]",34350.5,55.671400000000006
"(34500, 34800]",34650.5,55.658233333333335
"(34800, 35100]",34950.5,55.64136666666666
"(35100, 35400]",35250.5,55.643166666666666
"(35400, 35700]",35550.5,55.65056666666666
"(35700, 36000]",35850.5,55.64573333333334
"(36000, 36300]",36150.5,55.64926666666666
"(36300, 36600]",36450.5,55.64566666666667
"(36600, 36900]",36750.5,55.6312
"(36900, 37200]",37050.5,55.62076666666667
"(37200, 37500]",37350.5,55.622933333333336
"(37500, 37800]",37650.5,55.61639999999999
"(37800, 38100]",37950.5,55.61473333333333
"(38100, 38400]",38250.5,55.6099
"(38400, 38700]",38550.5,55.6072
"(38700, 39000]",38850.5,55.59496666666667
"(39000, 39300]",39150.5,55.59906666666667
"(39300, 39600]",39450.5,55.5897
"(39600, 39900]",39750.5,55.59966666666667
"(39900, 40200]",40050.5,55.60376666666667
"(40200, 40500]",40350.5,55.59826666666667
"(40500, 40800]",40650.5,55.58716666666667
"(40800, 41100]",40950.5,55.57333333333333
"(41100, 41400]",41250.5,55.5602
"(41400, 41700]",41550.5,55.547266666666665
"(41700, 42000]",41850.5,55.530166666666666
"(42000, 42300]",42150.5,55.516733333333335
"(42300, 42600]",42450.5,55.49286666666667
"(42600, 42900]",42750.5,55.4751
"(42900, 43200]",43050.5,55.46616666666666
"(43200, 43500]",43350.5,55.457633333333334
"(43500, 43800]",43650.5,55.44596666666667
"(43800, 44100]",43950.5,55.42616666666666
"(44100, 44400]",44250.5,55.414199999999994
"(44400, 44700]",44550.5,55.3998
"(44700, 45000]",44850.5,55.40316666666667
"(45000, 45300]",45150.5,55.390699999999995
"(45300, 45600]",45450.5,55.38036666666667
"(45600, 45900]",45750.5,55.377966666666666
"(45900, 46200]",46050.5,55.36829999999999
"(46200, 46500]",46350.5,55.368700000000004
"(46500, 46800]",46650.5,55.36063333333333
"(46800, 47100]",46950.5,55.3528
"(47100, 47400]",47250.5,55.338499999999996
"(47400, 47700]",47550.5,55.32336666666666
"(47700, 48000]",47850.5,55.31536666666667
"(48000, 48300]",48150.5,55.303599999999996
"(48300, 48600]",48450.5,55.294733333333326
"(48600, 48900]",48750.5,55.28170000000001
"(48900, 49200]",49050.5,55.26213333333333
"(49200, 49500]",49350.5,55.241400000000006
"(49500, 49800]",49650.5,55.222366666666666
"(49800, 50100]",49950.5,55.21216666666667
"(50100, 50400]",50250.5,55.196200000000005
"(50400, 50700]",50550.5,55.16783333333333
"(50700, 51000]",50850.5,55.14490000000001
"(51000, 51300]",51150.5,55.118066666666664
"(51300, 51600]",51450.5,55.08860000000001
"(51600, 51900]",51750.5,55.06653333333333
"(51900, 52200]",52050.5,55.0442
"(52200, 52500]",52350.5,55.00736666666666
"(52500, 52800]",52650.5,54.97773333333333
"(52800, 53100]",52950.5,54.9578
"(53100, 53400]",53250.5,54.93163333333334
"(53400, 53700]",53550.5,54.903333333333336
"(53700, 54000]",53850.5,54.8775
"(54000, 54300]",54150.5,54.8445
