bin,Step Time,Average Travel Time
"(0, 900]",450.5,47.59175555555556
"(900, 1800]",1350.5,50.143255555555555
"(1800, 2700]",2250.5,50.23144444444445
"(2700, 3600]",3150.5,50.94094444444444
"(3600, 4500]",4050.5,51.82364444444444
"(4500, 5400]",4950.5,52.7473
"(5400, 6300]",5850.5,53.09757777777778
"(6300, 7200]",6750.5,53.436566666666664
"(7200, 8100]",7650.5,54.12734444444445
"(8100, 9000]",8550.5,55.07111111111111
"(9000, 9900]",9450.5,55.68924444444444
"(9900, 10800]",10350.5,56.102022222222224
"(10800, 11700]",11250.5,56.47477777777778
"(11700, 12600]",12150.5,56.858644444444444
"(12600, 13500]",13050.5,57.09217777777778
"(13500, 14400]",13950.5,57.278422222222225
"(14400, 15300]",14850.5,57.45621111111111
"(15300, 16200]",15750.5,57.71077777777777
"(16200, 17100]",16650.5,57.944877777777776
"(17100, 18000]",17550.5,58.15622222222222
"(18000, 18900]",18450.5,58.25066666666667
"(18900, 19800]",19350.5,58.23288888888889
"(19800, 20700]",20250.5,58.234766666666665
"(20700, 21600]",21150.5,58.26422222222222
"(21600, 22500]",22050.5,58.28472222222222
"(22500, 23400]",22950.5,58.25118888888889
"(23400, 24300]",23850.5,58.220699999999994
"(24300, 25200]",24750.5,58.16778888888889
"(25200, 26100]",25650.5,58.08990000000001
"(26100, 27000]",26550.5,57.91122222222222
"(27000, 27900]",27450.5,57.763311111111115
"(27900, 28800]",28350.5,57.66492222222222
"(28800, 29700]",29250.5,57.604777777777784
"(29700, 30600]",30150.5,57.55891111111111
"(30600, 31500]",31050.5,57.50492222222222
"(31500, 32400]",31950.5,57.46975555555555
"(32400, 33300]",32850.5,57.44564444444445
"(33300, 34200]",33750.5,57.431400000000004
"(34200, 35100]",34650.5,57.41792222222222
"(35100, 36000]",35550.5,57.403222222222226
"(36000, 36900]",36450.5,57.397733333333335
"(36900, 37800]",37350.5,57.37831111111112
"(37800, 38700]",38250.5,57.35541111111112
"(38700, 39600]",39150.5,57.33112222222223
"(39600, 40500]",40050.5,57.32416666666666
"(40500, 41400]",40950.5,57.31657777777777
"(41400, 42300]",41850.5,57.303244444444445
"(42300, 43200]",42750.5,57.28903333333333
"(43200, 44100]",43650.5,57.27803333333334
"(44100, 45000]",44550.5,57.266755555555555
"(45000, 45900]",45450.5,57.24687777777778
"(45900, 46800]",46350.5,57.23892222222222
"(46800, 47700]",47250.5,57.20598888888889
"(47700, 48600]",48150.5,57.15118888888889
"(48600, 49500]",49050.5,57.09558888888889
"(49500, 50400]",49950.5,57.04392222222222
"(50400, 51300]",50850.5,56.99746666666667
"(51300, 52200]",51750.5,56.92711111111111
"(52200, 53100]",52650.5,56.83987777777778
"(53100, 54000]",53550.5,56.776066666666665
