bin,Step Time,Average Waiting Time
"(0, 300]",150.5,12.9255
"(300, 600]",450.5,7.914866666666667
"(600, 900]",750.5,5.6338333333333335
"(900, 1200]",1050.5,4.532900000000001
"(1200, 1500]",1350.5,3.9408666666666665
"(1500, 1800]",1650.5,3.4827666666666666
"(1800, 2100]",1950.5,3.3967666666666667
"(2100, 2400]",2250.5,3.1324
"(2400, 2700]",2550.5,2.9739
"(2700, 3000]",2850.5,2.8103000000000002
"(3000, 3300]",3150.5,2.6647333333333334
"(3300, 3600]",3450.5,2.5336000000000003
"(3600, 3900]",3750.5,3.1174333333333335
"(3900, 4200]",4050.5,2.9614333333333334
"(4200, 4500]",4350.5,2.7683333333333335
"(4500, 4800]",4650.5,2.6669
"(4800, 5100]",4950.5,2.5458
"(5100, 5400]",5250.5,2.4324333333333334
"(5400, 5700]",5550.5,2.4274
"(5700, 6000]",5850.5,2.3522
"(6000, 6300]",6150.5,2.2864999999999998
"(6300, 6600]",6450.5,2.2493
"(6600, 6900]",6750.5,2.1848333333333336
"(6900, 7200]",7050.5,2.1289
"(7200, 7500]",7350.5,2.5554
"(7500, 7800]",7650.5,2.572
"(7800, 8100]",7950.5,2.5468666666666664
"(8100, 8400]",8250.5,2.5448666666666666
"(8400, 8700]",8550.5,2.5447666666666664
"(8700, 9000]",8850.5,2.5382000000000002
"(9000, 9300]",9150.5,2.572366666666667
"(9300, 9600]",9450.5,2.561
"(9600, 9900]",9750.5,2.5629666666666666
"(9900, 10200]",10050.5,2.5682666666666667
"(10200, 10500]",10350.5,2.5557000000000003
"(10500, 10800]",10650.5,2.535833333333333
"(10800, 11100]",10950.5,2.7944
"(11100, 11400]",11250.5,2.8143666666666665
"(11400, 11700]",11550.5,2.7951666666666664
"(11700, 12000]",11850.5,2.7805666666666666
"(12000, 12300]",12150.5,2.7773
"(12300, 12600]",12450.5,2.7736333333333336
"(12600, 12900]",12750.5,2.7807666666666666
"(12900, 13200]",13050.5,2.783933333333333
"(13200, 13500]",13350.5,2.780933333333333
"(13500, 13800]",13650.5,2.7760333333333334
"(13800, 14100]",13950.5,2.7606333333333333
"(14100, 14400]",14250.5,2.745966666666667
"(14400, 14700]",14550.5,2.9022333333333337
"(14700, 15000]",14850.5,2.9115
"(15000, 15300]",15150.5,2.9041
"(15300, 15600]",15450.5,2.890066666666667
"(15600, 15900]",15750.5,2.896033333333333
"(15900, 16200]",16050.5,2.8854666666666664
"(16200, 16500]",16350.5,2.897866666666667
"(16500, 16800]",16650.5,2.8863666666666665
"(16800, 17100]",16950.5,2.8864333333333336
"(17100, 17400]",17250.5,2.8722333333333334
"(17400, 17700]",17550.5,2.8649
"(17700, 18000]",17850.5,2.8479666666666668
"(18000, 18300]",18150.5,3.0259
"(18300, 18600]",18450.5,3.0763333333333334
