bin,Step Time,Average Waiting Time
"(0, 300]",150.5,12.904333333333334
"(300, 600]",450.5,7.926000000000001
"(600, 900]",750.5,5.641266666666667
"(900, 1200]",1050.5,4.544433333333333
"(1200, 1500]",1350.5,3.9538
"(1500, 1800]",1650.5,3.490466666666667
"(1800, 2100]",1950.5,3.4051666666666667
"(2100, 2400]",2250.5,3.1397
"(2400, 2700]",2550.5,2.9804999999999997
"(2700, 3000]",2850.5,2.8179
"(3000, 3300]",3150.5,2.6696999999999997
"(3300, 3600]",3450.5,2.539633333333333
"(3600, 3900]",3750.5,3.119366666666667
"(3900, 4200]",4050.5,2.9608666666666665
"(4200, 4500]",4350.5,2.770366666666667
"(4500, 4800]",4650.5,2.6607000000000003
"(4800, 5100]",4950.5,2.540233333333333
"(5100, 5400]",5250.5,2.4290333333333334
"(5400, 5700]",5550.5,2.4274666666666667
"(5700, 6000]",5850.5,2.3511333333333333
"(6000, 6300]",6150.5,2.283633333333333
"(6300, 6600]",6450.5,2.2449333333333334
"(6600, 6900]",6750.5,2.1805666666666665
"(6900, 7200]",7050.5,2.1222666666666665
"(7200, 7500]",7350.5,2.520033333333333
"(7500, 7800]",7650.5,2.5354
"(7800, 8100]",7950.5,2.5134
"(8100, 8400]",8250.5,2.5193
"(8400, 8700]",8550.5,2.5278666666666667
"(8700, 9000]",8850.5,2.517533333333333
"(9000, 9300]",9150.5,2.558
"(9300, 9600]",9450.5,2.545733333333333
"(9600, 9900]",9750.5,2.5464333333333333
"(9900, 10200]",10050.5,2.5541666666666667
"(10200, 10500]",10350.5,2.5438
"(10500, 10800]",10650.5,2.5218666666666665
"(10800, 11100]",10950.5,2.7512666666666665
"(11100, 11400]",11250.5,2.7580666666666667
"(11400, 11700]",11550.5,2.7381333333333333
"(11700, 12000]",11850.5,2.7224333333333335
"(12000, 12300]",12150.5,2.7214333333333336
"(12300, 12600]",12450.5,2.721766666666667
"(12600, 12900]",12750.5,2.7332
"(12900, 13200]",13050.5,2.7387333333333332
"(13200, 13500]",13350.5,2.7335000000000003
"(13500, 13800]",13650.5,2.733033333333333
"(13800, 14100]",13950.5,2.7187666666666668
"(14100, 14400]",14250.5,2.7070000000000003
"(14400, 14700]",14550.5,2.861266666666667
"(14700, 15000]",14850.5,2.8703666666666665
"(15000, 15300]",15150.5,2.8624666666666667
"(15300, 15600]",15450.5,2.8463333333333334
"(15600, 15900]",15750.5,2.8529
"(15900, 16200]",16050.5,2.8446666666666665
"(16200, 16500]",16350.5,2.858833333333333
"(16500, 16800]",16650.5,2.8475333333333332
"(16800, 17100]",16950.5,2.8555666666666664
"(17100, 17400]",17250.5,2.843433333333333
"(17400, 17700]",17550.5,2.8364999999999996
"(17700, 18000]",17850.5,2.8213
"(18000, 18300]",18150.5,3.0121666666666664
"(18300, 18600]",18450.5,3.0727666666666664
"(18600, 18900]",18750.5,3.0601
"(18900, 19200]",19050.5,3.050733333333333
"(19200, 19500]",19350.5,3.0479666666666665
"(19500, 19800]",19650.5,3.0388666666666664
"(19800, 20100]",19950.5,3.0498999999999996
"(20100, 20400]",20250.5,3.04
"(20400, 20700]",20550.5,3.038933333333333
"(20700, 21000]",20850.5,3.0303999999999998
"(21000, 21300]",21150.5,3.0218333333333334
"(21300, 21600]",21450.5,3.0093
"(21600, 21900]",21750.5,3.0958666666666668
"(21900, 22200]",22050.5,3.1016333333333335
"(22200, 22500]",22350.5,3.088
"(22500, 22800]",22650.5,3.0767666666666664
"(22800, 23100]",22950.5,3.07
"(23100, 23400]",23250.5,3.0587999999999997
"(23400, 23700]",23550.5,3.0623666666666667
"(23700, 24000]",23850.5,3.0510333333333333
"(24000, 24300]",24150.5,3.0472333333333332
"(24300, 24600]",24450.5,3.038
"(24600, 24900]",24750.5,3.0267666666666666
"(24900, 25200]",25050.5,3.0151666666666666
"(25200, 25500]",25350.5,3.0502666666666665
"(25500, 25800]",25650.5,3.0426666666666664
"(25800, 26100]",25950.5,3.0290999999999997
"(26100, 26400]",26250.5,3.0168
"(26400, 26700]",26550.5,3.0099666666666662
"(26700, 27000]",26850.5,2.997666666666667
"(27000, 27300]",27150.5,2.9932666666666665
"(27300, 27600]",27450.5,2.9811666666666667
"(27600, 27900]",27750.5,2.9751333333333334
"(27900, 28200]",28050.5,2.9640333333333335
"(28200, 28500]",28350.5,2.9531333333333336
"(28500, 28800]",28650.5,2.9435
"(28800, 29100]",28950.5,3.0313999999999997
"(29100, 29400]",29250.5,3.1246666666666667
"(29400, 29700]",29550.5,3.1659333333333333
"(29700, 30000]",29850.5,3.1799666666666666
"(30000, 30300]",30150.5,3.1889666666666665
"(30300, 30600]",30450.5,3.19
"(30600, 30900]",30750.5,3.1996333333333338
"(30900, 31200]",31050.5,3.1909
"(31200, 31500]",31350.5,3.2076333333333333
"(31500, 31800]",31650.5,3.2031666666666667
"(31800, 32100]",31950.5,3.2047
"(32100, 32400]",32250.5,3.200833333333333
"(32400, 32700]",32550.5,3.2694
"(32700, 33000]",32850.5,3.2854
"(33000, 33300]",33150.5,3.2789333333333333
"(33300, 33600]",33450.5,3.283
"(33600, 33900]",33750.5,3.28
"(33900, 34200]",34050.5,3.2742999999999998
"(34200, 34500]",34350.5,3.2834666666666665
"(34500, 34800]",34650.5,3.28
"(34800, 35100]",34950.5,3.279
"(35100, 35400]",35250.5,3.2797666666666667
"(35400, 35700]",35550.5,3.28
"(35700, 36000]",35850.5,3.2790666666666666
"(36000, 36300]",36150.5,3.3502333333333336
"(36300, 36600]",36450.5,3.3947
"(36600, 36900]",36750.5,3.3948
"(36900, 37200]",37050.5,3.4
"(37200, 37500]",37350.5,3.4069333333333334
"(37500, 37800]",37650.5,3.4088
"(37800, 38100]",37950.5,3.4263000000000003
"(38100, 38400]",38250.5,3.43
"(38400, 38700]",38550.5,3.4400333333333335
"(38700, 39000]",38850.5,3.446166666666667
"(39000, 39300]",39150.5,3.4436999999999998
"(39300, 39600]",39450.5,3.4408
"(39600, 39900]",39750.5,3.5002999999999997
"(39900, 40200]",40050.5,3.5768666666666666
"(40200, 40500]",40350.5,3.6715333333333335
"(40500, 40800]",40650.5,3.8038000000000003
"(40800, 41100]",40950.5,3.9538333333333338
"(41100, 41400]",41250.5,4.1293
"(41400, 41700]",41550.5,4.3457333333333334
"(41700, 42000]",41850.5,4.5925666666666665
"(42000, 42300]",42150.5,4.8610999999999995
"(42300, 42600]",42450.5,5.160033333333334
"(42600, 42900]",42750.5,5.469566666666666
"(42900, 43200]",43050.5,5.8123000000000005
"(43200, 43500]",43350.5,6.1884999999999994
"(43500, 43800]",43650.5,6.6488000000000005
"(43800, 44100]",43950.5,7.2161
"(44100, 44400]",44250.5,7.885933333333334
"(44400, 44700]",44550.5,8.667
"(44700, 45000]",44850.5,9.526200000000001
"(45000, 45300]",45150.5,10.474
"(45300, 45600]",45450.5,11.493466666666666
"(45600, 45900]",45750.5,12.59
"(45900, 46200]",46050.5,13.7667
"(46200, 46500]",46350.5,15.048966666666665
"(46500, 46800]",46650.5,16.4124
"(46800, 47100]",46950.5,17.897233333333332
"(47100, 47400]",47250.5,19.458566666666666
"(47400, 47700]",47550.5,21.078733333333332
"(47700, 48000]",47850.5,22.679399999999998
"(48000, 48300]",48150.5,24.356933333333334
"(48300, 48600]",48450.5,26.029766666666667
"(48600, 48900]",48750.5,27.76676666666667
"(48900, 49200]",49050.5,29.534433333333332
"(49200, 49500]",49350.5,31.331666666666667
"(49500, 49800]",49650.5,33.17593333333333
"(49800, 50100]",49950.5,35.04313333333334
"(50100, 50400]",50250.5,36.924366666666664
"(50400, 50700]",50550.5,38.84193333333333
"(50700, 51000]",50850.5,40.86366666666667
"(51000, 51300]",51150.5,42.87023333333333
"(51300, 51600]",51450.5,44.90136666666667
"(51600, 51900]",51750.5,46.8512
"(51900, 52200]",52050.5,48.602399999999996
"(52200, 52500]",52350.5,50.17243333333333
"(52500, 52800]",52650.5,51.574866666666665
"(52800, 53100]",52950.5,52.783633333333334
"(53100, 53400]",53250.5,53.8209
"(53400, 53700]",53550.5,54.6894
"(53700, 54000]",53850.5,55.38216666666667
"(54000, 54300]",54150.5,55.97860000000001
