bin,Step Time,Average Waiting Time
"(0, 600]",300.5,10.483766666666668
"(600, 1200]",900.5,5.11705
"(1200, 1800]",1500.5,3.735316666666667
"(1800, 2400]",2100.5,3.2864166666666663
"(2400, 3000]",2700.5,2.9134166666666665
"(3000, 3600]",3300.5,2.618933333333333
"(3600, 4200]",3900.5,3.043266666666667
"(4200, 4800]",4500.5,2.7220833333333334
"(4800, 5400]",5100.5,2.491566666666667
"(5400, 6000]",5700.5,2.3903166666666666
"(6000, 6600]",6300.5,2.26535
"(6600, 7200]",6900.5,2.1512333333333333
"(7200, 7800]",7500.5,2.558533333333333
"(7800, 8400]",8100.5,2.5429833333333334
"(8400, 9000]",8700.5,2.5373666666666663
"(9000, 9600]",9300.5,2.566333333333333
"(9600, 10200]",9900.5,2.5612
"(10200, 10800]",10500.5,2.5475499999999998
"(10800, 11400]",11100.5,2.7797166666666664
"(11400, 12000]",11700.5,2.7529166666666667
"(12000, 12600]",12300.5,2.745033333333333
"(12600, 13200]",12900.5,2.7571499999999998
"(13200, 13800]",13500.5,2.7590166666666662
"(13800, 14400]",14100.5,2.7393666666666667
"(14400, 15000]",14700.5,2.8839833333333336
"(15000, 15600]",15300.5,2.8675333333333333
"(15600, 16200]",15900.5,2.8618333333333332
"(16200, 16800]",16500.5,2.8593333333333333
"(16800, 17400]",17100.5,2.8543499999999997
"(17400, 18000]",17700.5,2.8382666666666667
"(18000, 18600]",18300.5,3.04845
"(18600, 19200]",18900.5,3.0611833333333336
"(19200, 19800]",19500.5,3.0473999999999997
"(19800, 20400]",20100.5,3.0464666666666664
"(20400, 21000]",20700.5,3.033033333333333
"(21000, 21600]",21300.5,3.01185
"(21600, 22200]",21900.5,3.0978166666666667
"(22200, 22800]",22500.5,3.08335
"(22800, 23400]",23100.5,3.0639666666666665
"(23400, 24000]",23700.5,3.055716666666666
"(24000, 24600]",24300.5,3.0418999999999996
"(24600, 25200]",24900.5,3.019833333333333
"(25200, 25800]",25500.5,3.047433333333333
"(25800, 26400]",26100.5,3.0252166666666667
"(26400, 27000]",26700.5,3.0062166666666665
"(27000, 27600]",27300.5,2.9893
"(27600, 28200]",27900.5,2.9716666666666667
"(28200, 28800]",28500.5,2.9516
"(28800, 29400]",29100.5,3.0571166666666665
"(29400, 30000]",29700.5,3.09
"(30000, 30600]",30300.5,3.0928
"(30600, 31200]",30900.5,3.09405
"(31200, 31800]",31500.5,3.11395
"(31800, 32400]",32100.5,3.1199833333333333
"(32400, 33000]",32700.5,3.1924
"(33000, 33600]",33300.5,3.1910833333333333
"(33600, 34200]",33900.5,3.1861333333333333
"(34200, 34800]",34500.5,3.1964
"(34800, 35400]",35100.5,3.1946666666666665
"(35400, 36000]",35700.5,3.2
"(36000, 36600]",36300.5,3.2938166666666664
"(36600, 37200]",36900.5,3.3177166666666666
"(37200, 37800]",37500.5,3.3292
"(37800, 38400]",38100.5,3.36105
"(38400, 39000]",38700.5,3.37835
"(39000, 39600]",39300.5,3.38
"(39600, 40200]",39900.5,3.4828333333333332
"(40200, 40800]",40500.5,3.70395
"(40800, 41400]",41100.5,4.0336
"(41400, 42000]",41700.5,4.438316666666666
"(42000, 42600]",42300.5,4.921883333333334
"(42600, 43200]",42900.5,5.4813833333333335
"(43200, 43800]",43500.5,6.14845
"(43800, 44400]",44100.5,7.163566666666667
"(44400, 45000]",44700.5,8.5941
"(45000, 45600]",45300.5,10.4237
"(45600, 46200]",45900.5,12.64775
"(46200, 46800]",46500.5,15.156216666666666
"(46800, 47400]",47100.5,18.022066666666667
"(47400, 48000]",47700.5,21.149483333333333
"(48000, 48600]",48300.5,24.488883333333334
"(48600, 49200]",48900.5,27.965466666666664
"(49200, 49800]",49500.5,31.592916666666667
"(49800, 50400]",50100.5,35.41411666666667
"(50400, 51000]",50700.5,39.415
"(51000, 51600]",51300.5,43.542049999999996
"(51600, 52200]",51900.5,47.492333333333335
"(52200, 52800]",52500.5,50.76698333333333
"(52800, 53400]",53100.5,53.316633333333336
"(53400, 54000]",53700.5,55.12965
