bin,Step Time,Collisions
"(0, 600]",300.5,0.0
"(600, 1200]",900.5,0.0
"(1200, 1800]",1500.5,0.0
"(1800, 2400]",2100.5,0.0
"(2400, 3000]",2700.5,0.0
"(3000, 3600]",3300.5,0.0
"(3600, 4200]",3900.5,0.0
"(4200, 4800]",4500.5,0.0
"(4800, 5400]",5100.5,0.0
"(5400, 6000]",5700.5,0.0
"(6000, 6600]",6300.5,0.0
"(6600, 7200]",6900.5,0.0
"(7200, 7800]",7500.5,0.0
"(7800, 8400]",8100.5,0.0
"(8400, 9000]",8700.5,0.0
"(9000, 9600]",9300.5,0.0
"(9600, 10200]",9900.5,0.0
"(10200, 10800]",10500.5,0.0
"(10800, 11400]",11100.5,0.0
"(11400, 12000]",11700.5,0.0
"(12000, 12600]",12300.5,0.0
"(12600, 13200]",12900.5,0.0
"(13200, 13800]",13500.5,0.0
"(13800, 14400]",14100.5,0.0
"(14400, 15000]",14700.5,0.0
"(15000, 15600]",15300.5,0.0
"(15600, 16200]",15900.5,0.0
"(16200, 16800]",16500.5,0.0
"(16800, 17400]",17100.5,0.0
"(17400, 18000]",17700.5,0.0
"(18000, 18600]",18300.5,0.0
"(18600, 19200]",18900.5,0.0
"(19200, 19800]",19500.5,0.0
"(19800, 20400]",20100.5,0.0
"(20400, 21000]",20700.5,0.0
"(21000, 21600]",21300.5,0.0
"(21600, 22200]",21900.5,0.0
"(22200, 22800]",22500.5,0.0
"(22800, 23400]",23100.5,0.0
"(23400, 24000]",23700.5,0.0
"(24000, 24600]",24300.5,0.0
"(24600, 25200]",24900.5,0.0
"(25200, 25800]",25500.5,0.0
"(25800, 26400]",26100.5,0.0
"(26400, 27000]",26700.5,0.0
"(27000, 27600]",27300.5,0.0
"(27600, 28200]",27900.5,0.0
"(28200, 28800]",28500.5,0.0
"(28800, 29400]",29100.5,0.0
"(29400, 30000]",29700.5,0.0
"(30000, 30600]",30300.5,0.0
"(30600, 31200]",30900.5,0.0
"(31200, 31800]",31500.5,0.0
"(31800, 32400]",32100.5,0.0
"(32400, 33000]",32700.5,0.0
"(33000, 33600]",33300.5,0.0
"(33600, 34200]",33900.5,0.0
"(34200, 34800]",34500.5,0.0
"(34800, 35400]",35100.5,0.0
"(35400, 36000]",35700.5,0.0
"(36000, 36600]",36300.5,0.0
"(36600, 37200]",36900.5,0.0
"(37200, 37800]",37500.5,0.0
"(37800, 38400]",38100.5,0.0
"(38400, 39000]",38700.5,0.0
"(39000, 39600]",39300.5,0.0
"(39600, 40200]",39900.5,0.0
"(40200, 40800]",40500.5,0.0
"(40800, 41400]",41100.5,0.0
"(41400, 42000]",41700.5,0.0
"(42000, 42600]",42300.5,0.0
"(42600, 43200]",42900.5,0.0
"(43200, 43800]",43500.5,0.0
"(43800, 44400]",44100.5,0.0
"(44400, 45000]",44700.5,0.0
"(45000, 45600]",45300.5,0.0
"(45600, 46200]",45900.5,0.0
"(46200, 46800]",46500.5,0.0
"(46800, 47400]",47100.5,0.0
"(47400, 48000]",47700.5,0.0
"(48000, 48600]",48300.5,0.0
"(48600, 49200]",48900.5,0.0
"(49200, 49800]",49500.5,0.0
"(49800, 50400]",50100.5,0.0
"(50400, 51000]",50700.5,0.0
"(51000, 51600]",51300.5,0.0
"(51600, 52200]",51900.5,0.0
"(52200, 52800]",52500.5,0.0
"(52800, 53400]",53100.5,0.0
"(53400, 54000]",53700.5,0.0
