bin,Step Time,Number Waiting
"(0, 300]",150.5,2.21
"(300, 600]",450.5,0.05
"(600, 900]",750.5,0.08
"(900, 1200]",1050.5,0.08333333333333333
"(1200, 1500]",1350.5,0.16666666666666666
"(1500, 1800]",1650.5,0.08666666666666667
"(1800, 2100]",1950.5,0.39
"(2100, 2400]",2250.5,0.08333333333333333
"(2400, 2700]",2550.5,0.16666666666666666
"(2700, 3000]",2850.5,0.10666666666666667
"(3000, 3300]",3150.5,0.05
"(3300, 3600]",3450.5,0.12
"(3600, 3900]",3750.5,1.91
"(3900, 4200]",4050.5,0.13
"(4200, 4500]",4350.5,0.07
"(4500, 4800]",4650.5,0.27666666666666667
"(4800, 5100]",4950.5,0.11666666666666667
"(5100, 5400]",5250.5,0.14333333333333334
"(5400, 5700]",5550.5,0.47333333333333333
"(5700, 6000]",5850.5,0.12
"(6000, 6300]",6150.5,0.17333333333333334
"(6300, 6600]",6450.5,0.21333333333333335
"(6600, 6900]",6750.5,0.10666666666666667
"(6900, 7200]",7050.5,0.17666666666666667
"(7200, 7500]",7350.5,3.6666666666666665
"(7500, 7800]",7650.5,0.7466666666666667
"(7800, 8100]",7950.5,0.7366666666666667
"(8100, 8400]",8250.5,0.9433333333333334
"(8400, 8700]",8550.5,0.9733333333333334
"(8700, 9000]",8850.5,0.8533333333333334
"(9000, 9300]",9150.5,1.27
"(9300, 9600]",9450.5,0.7333333333333333
"(9600, 9900]",9750.5,0.9866666666666667
"(9900, 10200]",10050.5,1.0566666666666666
"(10200, 10500]",10350.5,0.7366666666666667
"(10500, 10800]",10650.5,0.6266666666666667
"(10800, 11100]",10950.5,5.24
"(11100, 11400]",11250.5,1.2366666666666666
"(11400, 11700]",11550.5,1.1
"(11700, 12000]",11850.5,1.22
"(12000, 12300]",12150.5,1.47
"(12300, 12600]",12450.5,1.2266666666666666
"(12600, 12900]",12750.5,1.58
"(12900, 13200]",13050.5,1.5366666666666666
"(13200, 13500]",13350.5,1.34
"(13500, 13800]",13650.5,1.1233333333333333
"(13800, 14100]",13950.5,1.17
"(14100, 14400]",14250.5,1.0166666666666666
"(14400, 14700]",14550.5,5.53
"(14700, 15000]",14850.5,1.07
"(15000, 15300]",15150.5,1.3266666666666667
"(15300, 15600]",15450.5,1.1833333333333333
"(15600, 15900]",15750.5,1.7433333333333334
"(15900, 16200]",16050.5,1.0433333333333332
"(16200, 16500]",16350.5,1.9533333333333334
"(16500, 16800]",16650.5,1.03
"(16800, 17100]",16950.5,1.5366666666666666
"(17100, 17400]",17250.5,1.0366666666666666
"(17400, 17700]",17550.5,1.2633333333333334
"(17700, 18000]",17850.5,1.01
"(18000, 18300]",18150.5,9.163333333333334
"(18300, 18600]",18450.5,1.13
"(18600, 18900]",18750.5,1.2566666666666666
"(18900, 19200]",19050.5,1.3433333333333333
"(19200, 19500]",19350.5,1.5666666666666667
"(19500, 19800]",19650.5,1.0266666666666666
"(19800, 20100]",19950.5,2.0366666666666666
"(20100, 20400]",20250.5,1.4
"(20400, 20700]",20550.5,1.27
"(20700, 21000]",20850.5,1.3366666666666667
"(21000, 21300]",21150.5,1.1366666666666667
"(21300, 21600]",21450.5,1.0966666666666667
"(21600, 21900]",21750.5,6.28
"(21900, 22200]",22050.5,1.1133333333333333
"(22200, 22500]",22350.5,1.0966666666666667
"(22500, 22800]",22650.5,1.05
"(22800, 23100]",22950.5,1.4666666666666666
"(23100, 23400]",23250.5,0.8333333333333334
"(23400, 23700]",23550.5,1.9066666666666667
"(23700, 24000]",23850.5,1.2533333333333334
"(24000, 24300]",24150.5,1.35
"(24300, 24600]",24450.5,0.99
"(24600, 24900]",24750.5,0.9333333333333333
"(24900, 25200]",25050.5,1.0433333333333332
"(25200, 25500]",25350.5,3.4566666666666666
"(25500, 25800]",25650.5,0.56
"(25800, 26100]",25950.5,0.6366666666666667
"(26100, 26400]",26250.5,0.5933333333333334
"(26400, 26700]",26550.5,0.89
"(26700, 27000]",26850.5,0.47333333333333333
"(27000, 27300]",27150.5,0.89
"(27300, 27600]",27450.5,0.71
"(27600, 27900]",27750.5,0.7566666666666667
"(27900, 28200]",28050.5,0.6233333333333333
"(28200, 28500]",28350.5,0.5966666666666667
"(28500, 28800]",28650.5,0.5866666666666667
"(28800, 29100]",28950.5,10.056666666666667
"(29100, 29400]",29250.5,4.416666666666667
"(29400, 29700]",29550.5,2.4066666666666667
"(29700, 30000]",29850.5,1.6966666666666668
"(30000, 30300]",30150.5,2.1633333333333336
"(30300, 30600]",30450.5,1.8166666666666667
"(30600, 30900]",30750.5,1.8666666666666667
"(30900, 31200]",31050.5,1.3066666666666666
"(31200, 31500]",31350.5,2.88
"(31500, 31800]",31650.5,1.4633333333333334
"(31800, 32100]",31950.5,1.6866666666666668
"(32100, 32400]",32250.5,1.4966666666666666
"(32400, 32700]",32550.5,7.506666666666667
"(32700, 33000]",32850.5,1.1333333333333333
"(33000, 33300]",33150.5,1.13
"(33300, 33600]",33450.5,1.8966666666666667
"(33600, 33900]",33750.5,1.28
"(33900, 34200]",34050.5,1.2266666666666666
"(34200, 34500]",34350.5,2.3566666666666665
"(34500, 34800]",34650.5,1.3066666666666666
"(34800, 35100]",34950.5,1.6266666666666667
"(35100, 35400]",35250.5,2.0566666666666666
"(35400, 35700]",35550.5,1.66
"(35700, 36000]",35850.5,1.3233333333333333
"(36000, 36300]",36150.5,9.25
"(36300, 36600]",36450.5,2.066666666666667
"(36600, 36900]",36750.5,2.026666666666667
"(36900, 37200]",37050.5,2.0366666666666666
"(37200, 37500]",37350.5,2.6766666666666667
"(37500, 37800]",37650.5,1.6833333333333333
"(37800, 38100]",37950.5,4.63
"(38100, 38400]",38250.5,1.49
"(38400, 38700]",38550.5,3.0166666666666666
"(38700, 39000]",38850.5,1.9566666666666668
"(39000, 39300]",39150.5,2.1633333333333336
"(39300, 39600]",39450.5,1.43
"(39600, 39900]",39750.5,10.99
"(39900, 40200]",40050.5,7.953333333333333
"(40200, 40500]",40350.5,11.11
"(40500, 40800]",40650.5,13.146666666666667
"(40800, 41100]",40950.5,16.31
"(41100, 41400]",41250.5,16.863333333333333
"(41400, 41700]",41550.5,20.6
"(41700, 42000]",41850.5,20.653333333333332
"(42000, 42300]",42150.5,23.32
"(42300, 42600]",42450.5,23.236666666666668
"(42600, 42900]",42750.5,25.873333333333335
"(42900, 43200]",43050.5,27.326666666666668
"(43200, 43500]",43350.5,40.153333333333336
"(43500, 43800]",43650.5,49.83
"(43800, 44100]",43950.5,60.68666666666667
"(44100, 44400]",44250.5,70.11
"(44400, 44700]",44550.5,80.72
"(44700, 45000]",44850.5,91.67333333333333
"(45000, 45300]",45150.5,103.37333333333333
"(45300, 45600]",45450.5,113.34333333333333
"(45600, 45900]",45750.5,124.20333333333333
"(45900, 46200]",46050.5,135.34666666666666
"(46200, 46500]",46350.5,144.82333333333332
"(46500, 46800]",46650.5,153.74666666666667
"(46800, 47100]",46950.5,165.41
"(47100, 47400]",47250.5,166.52666666666667
"(47400, 47700]",47550.5,172.95333333333335
"(47700, 48000]",47850.5,181.14666666666668
"(48000, 48300]",48150.5,186.82666666666665
"(48300, 48600]",48450.5,193.21333333333334
"(48600, 48900]",48750.5,204.11
"(48900, 49200]",49050.5,209.42333333333335
"(49200, 49500]",49350.5,215.42666666666668
"(49500, 49800]",49650.5,222.03666666666666
"(49800, 50100]",49950.5,224.65
"(50100, 50400]",50250.5,230.39333333333335
"(50400, 50700]",50550.5,233.12666666666667
"(50700, 51000]",50850.5,215.20666666666668
"(51000, 51300]",51150.5,201.22
"(51300, 51600]",51450.5,187.81
"(51600, 51900]",51750.5,173.45333333333335
"(51900, 52200]",52050.5,158.83
"(52200, 52500]",52350.5,143.27666666666667
"(52500, 52800]",52650.5,127.22333333333333
"(52800, 53100]",52950.5,110.10666666666667
"(53100, 53400]",53250.5,93.94
"(53400, 53700]",53550.5,78.05333333333333
"(53700, 54000]",53850.5,64.22333333333333
