bin,Step Time,Number Waiting
"(0, 900]",450.5,0.7811111111111111
"(900, 1800]",1350.5,0.11333333333333333
"(1800, 2700]",2250.5,0.21444444444444444
"(2700, 3600]",3150.5,0.09222222222222222
"(3600, 4500]",4050.5,0.7022222222222222
"(4500, 5400]",4950.5,0.17444444444444446
"(5400, 6300]",5850.5,0.25222222222222224
"(6300, 7200]",6750.5,0.15888888888888889
"(7200, 8100]",7650.5,1.6566666666666667
"(8100, 9000]",8550.5,0.9311111111111111
"(9000, 9900]",9450.5,1.021111111111111
"(9900, 10800]",10350.5,0.7911111111111111
"(10800, 11700]",11250.5,2.312222222222222
"(11700, 12600]",12150.5,1.2833333333333334
"(12600, 13500]",13050.5,1.4933333333333334
"(13500, 14400]",13950.5,1.1166666666666667
"(14400, 15300]",14850.5,2.5855555555555556
"(15300, 16200]",15750.5,1.31
"(16200, 17100]",16650.5,1.5622222222222222
"(17100, 18000]",17550.5,1.1166666666666667
"(18000, 18900]",18450.5,4.047777777777778
"(18900, 19800]",19350.5,1.3022222222222222
"(19800, 20700]",20250.5,1.6122222222222222
"(20700, 21600]",21150.5,1.1877777777777778
"(21600, 22500]",22050.5,2.6544444444444446
"(22500, 23400]",22950.5,1.1455555555555557
"(23400, 24300]",23850.5,1.448888888888889
"(24300, 25200]",24750.5,0.9733333333333334
"(25200, 26100]",25650.5,1.4966666666666666
"(26100, 27000]",26550.5,0.64
"(27000, 27900]",27450.5,0.7844444444444445
"(27900, 28800]",28350.5,0.6055555555555555
"(28800, 29700]",29250.5,6.105555555555555
"(29700, 30600]",30150.5,2.08
"(30600, 31500]",31050.5,2.097777777777778
"(31500, 32400]",31950.5,1.5744444444444445
"(32400, 33300]",32850.5,3.318888888888889
"(33300, 34200]",33750.5,1.5877777777777777
"(34200, 35100]",34650.5,1.7533333333333334
"(35100, 36000]",35550.5,1.6611111111111112
"(36000, 36900]",36450.5,4.957777777777777
"(36900, 37800]",37350.5,2.18
"(37800, 38700]",38250.5,2.9755555555555557
"(38700, 39600]",39150.5,1.8722222222222222
"(39600, 40500]",40050.5,10.333333333333334
"(40500, 41400]",40950.5,16.476666666666667
"(41400, 42300]",41850.5,25.982222222222223
"(42300, 43200]",42750.5,32.99444444444445
"(43200, 44100]",43650.5,58.266666666666666
"(44100, 45000]",44550.5,91.25222222222222
"(45000, 45900]",45450.5,122.45111111111112
"(45900, 46800]",46350.5,157.77777777777777
"(46800, 47700]",47250.5,183.38666666666666
"(47700, 48600]",48150.5,199.16222222222223
"(48600, 49500]",49050.5,219.27555555555554
"(49500, 50400]",49950.5,236.14777777777778
"(50400, 51300]",50850.5,228.3488888888889
"(51300, 52200]",51750.5,184.0688888888889
"(52200, 53100]",52650.5,140.15444444444444
"(53100, 54000]",53550.5,94.9588888888889
