bin,Step Time,Number Waiting
"(0, 600]",300.5,1.1316666666666666
"(600, 1200]",900.5,0.085
"(1200, 1800]",1500.5,0.125
"(1800, 2400]",2100.5,0.23833333333333334
"(2400, 3000]",2700.5,0.13666666666666666
"(3000, 3600]",3300.5,0.085
"(3600, 4200]",3900.5,1.015
"(4200, 4800]",4500.5,0.16333333333333333
"(4800, 5400]",5100.5,0.13666666666666666
"(5400, 6000]",5700.5,0.29833333333333334
"(6000, 6600]",6300.5,0.18166666666666667
"(6600, 7200]",6900.5,0.13666666666666666
"(7200, 7800]",7500.5,2.115
"(7800, 8400]",8100.5,0.865
"(8400, 9000]",8700.5,0.9016666666666666
"(9000, 9600]",9300.5,1.0233333333333334
"(9600, 10200]",9900.5,1.0216666666666667
"(10200, 10800]",10500.5,0.6733333333333333
"(10800, 11400]",11100.5,2.925
"(11400, 12000]",11700.5,1.1366666666666667
"(12000, 12600]",12300.5,1.3316666666666668
"(12600, 13200]",12900.5,1.555
"(13200, 13800]",13500.5,1.26
"(13800, 14400]",14100.5,1.1
"(14400, 15000]",14700.5,3.2283333333333335
"(15000, 15600]",15300.5,1.2
"(15600, 16200]",15900.5,1.415
"(16200, 16800]",16500.5,1.5066666666666666
"(16800, 17400]",17100.5,1.38
"(17400, 18000]",17700.5,1.1316666666666666
"(18000, 18600]",18300.5,5.495
"(18600, 19200]",18900.5,1.2433333333333334
"(19200, 19800]",19500.5,1.2866666666666666
"(19800, 20400]",20100.5,1.7433333333333334
"(20400, 21000]",20700.5,1.34
"(21000, 21600]",21300.5,1.1166666666666667
"(21600, 22200]",21900.5,3.4683333333333333
"(22200, 22800]",22500.5,1.065
"(22800, 23400]",23100.5,1.1666666666666667
"(23400, 24000]",23700.5,1.5166666666666666
"(24000, 24600]",24300.5,1.1466666666666667
"(24600, 25200]",24900.5,0.97
"(25200, 25800]",25500.5,1.9383333333333332
"(25800, 26400]",26100.5,0.6066666666666667
"(26400, 27000]",26700.5,0.66
"(27000, 27600]",27300.5,0.8216666666666667
"(27600, 28200]",27900.5,0.6483333333333333
"(28200, 28800]",28500.5,0.615
"(28800, 29400]",29100.5,7.5216666666666665
"(29400, 30000]",29700.5,2.5
"(30000, 30600]",30300.5,2.256666666666667
"(30600, 31200]",30900.5,1.7033333333333334
"(31200, 31800]",31500.5,2.245
"(31800, 32400]",32100.5,1.56
"(32400, 33000]",32700.5,4.3933333333333335
"(33000, 33600]",33300.5,1.6983333333333333
"(33600, 34200]",33900.5,1.2683333333333333
"(34200, 34800]",34500.5,1.865
"(34800, 35400]",35100.5,1.8283333333333334
"(35400, 36000]",35700.5,1.4283333333333332
"(36000, 36600]",36300.5,6.345
"(36600, 37200]",36900.5,2.09
"(37200, 37800]",37500.5,2.2716666666666665
"(37800, 38400]",38100.5,2.881666666666667
"(38400, 39000]",38700.5,2.635
"(39000, 39600]",39300.5,1.755
"(39600, 40200]",39900.5,9.38
"(40200, 40800]",40500.5,13.101666666666667
"(40800, 41400]",41100.5,17.733333333333334
"(41400, 42000]",41700.5,24.716666666666665
"(42000, 42600]",42300.5,29.525
"(42600, 43200]",42900.5,34.223333333333336
"(43200, 43800]",43500.5,52.72666666666667
"(43800, 44400]",44100.5,75.33166666666666
"(44400, 45000]",44700.5,96.22
"(45000, 45600]",45300.5,116.92
"(45600, 46200]",45900.5,140.11333333333334
"(46200, 46800]",46500.5,163.31
"(46800, 47400]",47100.5,182.28333333333333
"(47400, 48000]",47700.5,189.73333333333332
"(48000, 48600]",48300.5,201.80666666666667
"(48600, 49200]",48900.5,216.72166666666666
"(49200, 49800]",49500.5,227.65166666666667
"(49800, 50400]",50100.5,238.76166666666666
"(50400, 51000]",50700.5,236.1
"(51000, 51600]",51300.5,206.065
"(51600, 52200]",51900.5,176.46166666666667
"(52200, 52800]",52500.5,147.865
"(52800, 53400]",53100.5,117.66666666666667
"(53400, 54000]",53700.5,87.13833333333334
