bin,Step Time,Number Waiting
"(0, 600]",300.5,1.1383333333333334
"(600, 1200]",900.5,0.08333333333333333
"(1200, 1800]",1500.5,0.12666666666666668
"(1800, 2400]",2100.5,0.24
"(2400, 3000]",2700.5,0.14
"(3000, 3600]",3300.5,0.08666666666666667
"(3600, 4200]",3900.5,1.0033333333333334
"(4200, 4800]",4500.5,0.175
"(4800, 5400]",5100.5,0.13
"(5400, 6000]",5700.5,0.28833333333333333
"(6000, 6600]",6300.5,0.19
"(6600, 7200]",6900.5,0.13
"(7200, 7800]",7500.5,2.2266666666666666
"(7800, 8400]",8100.5,0.8183333333333334
"(8400, 9000]",8700.5,0.91
"(9000, 9600]",9300.5,1.0216666666666667
"(9600, 10200]",9900.5,1.0183333333333333
"(10200, 10800]",10500.5,0.7183333333333334
"(10800, 11400]",11100.5,2.965
"(11400, 12000]",11700.5,1.1533333333333333
"(12000, 12600]",12300.5,1.3383333333333334
"(12600, 13200]",12900.5,1.6133333333333333
"(13200, 13800]",13500.5,1.275
"(13800, 14400]",14100.5,1.13
"(14400, 15000]",14700.5,3.1216666666666666
"(15000, 15600]",15300.5,1.1616666666666666
"(15600, 16200]",15900.5,1.405
"(16200, 16800]",16500.5,1.455
"(16800, 17400]",17100.5,1.39
"(17400, 18000]",17700.5,1.195
"(18000, 18600]",18300.5,5.431666666666667
"(18600, 19200]",18900.5,1.2616666666666667
"(19200, 19800]",19500.5,1.2583333333333333
"(19800, 20400]",20100.5,1.6733333333333333
"(20400, 21000]",20700.5,1.2533333333333334
"(21000, 21600]",21300.5,1.14
"(21600, 22200]",21900.5,3.5433333333333334
"(22200, 22800]",22500.5,1.0783333333333334
"(22800, 23400]",23100.5,1.1033333333333333
"(23400, 24000]",23700.5,1.5583333333333333
"(24000, 24600]",24300.5,1.1116666666666666
"(24600, 25200]",24900.5,0.9566666666666667
"(25200, 25800]",25500.5,2.0183333333333335
"(25800, 26400]",26100.5,0.6133333333333333
"(26400, 27000]",26700.5,0.6833333333333333
"(27000, 27600]",27300.5,0.8116666666666666
"(27600, 28200]",27900.5,0.6766666666666666
"(28200, 28800]",28500.5,0.6016666666666667
"(28800, 29400]",29100.5,5.9
"(29400, 30000]",29700.5,1.495
"(30000, 30600]",30300.5,1.8183333333333334
"(30600, 31200]",30900.5,1.6066666666666667
"(31200, 31800]",31500.5,2.65
"(31800, 32400]",32100.5,1.605
"(32400, 33000]",32700.5,4.226666666666667
"(33000, 33600]",33300.5,1.4816666666666667
"(33600, 34200]",33900.5,1.2283333333333333
"(34200, 34800]",34500.5,2.0033333333333334
"(34800, 35400]",35100.5,1.9016666666666666
"(35400, 36000]",35700.5,1.4933333333333334
"(36000, 36600]",36300.5,6.196666666666666
"(36600, 37200]",36900.5,2.15
"(37200, 37800]",37500.5,2.01
"(37800, 38400]",38100.5,3.4316666666666666
"(38400, 39000]",38700.5,2.65
"(39000, 39600]",39300.5,1.915
"(39600, 40200]",39900.5,9.978333333333333
"(40200, 40800]",40500.5,14.055
"(40800, 41400]",41100.5,18.061666666666667
"(41400, 42000]",41700.5,22.145
"(42000, 42600]",42300.5,26.906666666666666
"(42600, 43200]",42900.5,29.183333333333334
"(43200, 43800]",43500.5,46.42166666666667
"(43800, 44400]",44100.5,69.365
"(44400, 45000]",44700.5,92.95
"(45000, 45600]",45300.5,116.62
"(45600, 46200]",45900.5,137.42333333333335
"(46200, 46800]",46500.5,159.3
"(46800, 47400]",47100.5,179.83
"(47400, 48000]",47700.5,190.96833333333333
"(48000, 48600]",48300.5,203.39833333333334
"(48600, 49200]",48900.5,219.58833333333334
"(49200, 49800]",49500.5,232.845
"(49800, 50400]",50100.5,244.96833333333333
"(50400, 51000]",50700.5,241.185
"(51000, 51600]",51300.5,211.09666666666666
"(51600, 52200]",51900.5,181.92166666666665
"(52200, 52800]",52500.5,152.84
"(52800, 53400]",53100.5,120.93833333333333
"(53400, 54000]",53700.5,88.45833333333333
