step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;285544395;0;4;4;37;0.00;0.00;-1.00;0.00;4;0;0;0.00;33
0;0;285544426;0;0;4;37;0.54;0.02;-1.00;0.00;4;0;0;1.00;33
0;0;285544457;0;0;4;37;1.15;0.04;-1.00;0.00;4;0;0;2.00;33
0;0;285544488;0;2;6;37;1.16;0.05;-1.00;1.00;6;0;0;3.00;31
0;0;285544519;0;0;6;37;1.84;0.07;-1.00;1.00;6;0;0;4.00;31
0;0;285544550;0;1;7;37;2.08;0.08;-1.00;1.57;7;0;0;5.00;30
0;0;285544582;0;3;10;37;1.80;0.07;-1.00;2.90;10;0;0;6.00;27
0;0;285544612;0;0;10;37;2.52;0.10;-1.00;2.90;10;0;0;7.00;27
0;0;285544644;0;0;10;37;3.13;0.12;-1.00;2.90;10;0;0;8.00;27
0;0;285544675;0;2;12;37;3.21;0.12;-1.00;3.92;12;0;0;9.00;25
0;0;285544706;0;0;12;37;3.90;0.15;-1.00;3.92;12;0;0;10.00;25
0;0;285544738;0;2;14;37;3.87;0.15;-1.00;4.93;14;0;0;11.00;23
0;0;285544769;0;1;15;37;4.15;0.16;-1.00;5.40;15;0;0;12.00;22
0;0;285544800;0;1;16;37;4.56;0.18;-1.00;5.88;16;0;0;13.00;21
0;0;285544832;0;0;16;37;5.18;0.20;-1.00;5.88;16;0;0;14.00;21
0;0;285544863;0;2;18;37;5.19;0.20;-1.00;6.89;18;0;0;15.00;19
0;0;285544894;0;1;19;37;5.45;0.21;-1.00;7.37;19;0;0;16.00;18
0;0;285544926;0;1;20;37;5.75;0.22;-1.00;7.85;20;0;0;17.00;17
0;0;285544958;0;1;21;37;6.05;0.23;-1.00;8.33;21;0;0;18.00;16
0;0;285544989;0;1;22;37;6.43;0.25;-1.00;8.82;22;0;0;19.00;15
0;0;285545021;0;0;22;37;7.10;0.27;-1.00;8.82;22;0;0;20.00;15
0;0;285545052;0;1;23;37;7.43;0.28;-1.00;9.35;23;0;0;21.00;14
0;0;285545084;0;0;23;37;8.17;0.31;-1.00;9.35;23;0;0;22.00;14
0;0;285545114;0;1;24;37;8.46;0.31;-1.00;9.92;24;0;0;23.00;13
0;0;285545145;0;1;25;37;8.77;0.32;-1.00;10.48;25;0;0;24.00;12
0;0;285545175;0;0;25;37;9.42;0.35;-1.00;10.48;25;0;0;25.00;12
0;0;285545206;0;0;25;37;10.01;0.37;-1.00;10.48;25;0;0;26.00;12
1;0;285545239;1;0;25;37;10.39;0.38;27.00;10.48;24;0;0;27.00;12
2;0;285545270;2;1;26;37;10.34;0.38;26.00;11.15;24;0;0;28.00;11
2;0;285545300;2;1;27;37;10.49;0.39;26.00;11.81;25;0;0;29.00;10
2;0;285545332;2;0;27;37;11.11;0.41;26.00;11.81;25;0;0;30.00;10
3;0;285545364;3;0;27;37;11.49;0.43;25.67;11.81;24;0;0;31.00;10
3;0;285545396;3;2;29;37;11.08;0.41;25.67;13.21;26;0;0;32.00;8
3;0;285545427;3;1;29;37;11.52;0.43;25.67;13.21;26;0;0;33.00;8
4;0;285545458;4;1;30;37;11.32;0.42;26.25;13.90;26;0;0;34.00;7
4;0;285545490;4;1;31;37;11.38;0.43;26.25;14.58;27;0;0;35.00;6
4;0;285545522;4;1;31;37;11.90;0.44;26.25;14.58;27;0;0;36.00;6
4;0;285545554;4;2;33;37;11.69;0.44;26.25;15.94;29;0;0;37.00;4
5;0;285545586;5;0;33;37;12.09;0.45;26.20;15.94;28;0;0;38.00;4
5;0;285545618;5;1;34;37;12.16;0.45;26.20;16.62;29;0;0;39.00;3
5;0;285545650;5;0;34;37;12.57;0.47;26.20;16.62;29;0;0;40.00;3
5;0;285545681;5;1;35;37;12.56;0.47;26.20;17.31;30;0;0;41.00;2
6;0;285545712;6;1;35;37;12.62;0.46;26.00;17.31;29;0;0;42.00;2
6;0;285545744;6;2;36;37;12.46;0.45;26.00;18.03;30;0;0;43.00;1
6;0;285545775;6;1;36;37;12.81;0.47;26.00;18.03;30;0;0;44.00;1
6;0;285545806;6;2;36;37;13.16;0.48;26.00;18.03;30;0;0;45.00;1
6;0;285545837;6;3;37;37;13.06;0.48;26.00;18.78;31;0;0;46.00;0
6;0;285545868;6;3;37;37;13.48;0.49;26.00;18.78;31;0;0;47.00;0
7;0;285545900;7;4;37;37;13.52;0.50;29.14;18.78;30;0;0;48.00;0
7;0;285545931;7;4;37;37;13.88;0.51;29.14;18.78;30;0;0;49.00;0
7;0;285545963;7;4;37;37;14.17;0.52;29.14;18.78;30;0;0;50.00;0
7;0;285545993;7;4;37;37;14.56;0.53;29.14;18.78;30;0;0;51.00;0
7;0;285546023;7;5;37;37;14.62;0.54;29.14;18.78;30;0;0;52.00;0
8;0;285546054;8;6;38;38;14.13;0.52;32.12;18.32;30;0;0;53.00;0
10;0;285546085;10;5;38;38;13.40;0.49;34.70;18.32;28;0;0;54.00;0
10;0;285546115;10;6;38;38;12.80;0.46;34.70;18.32;28;0;0;55.00;0
11;0;285546146;11;8;38;38;12.26;0.44;35.27;18.32;27;0;0;56.00;0
12;0;285546176;12;10;38;38;11.23;0.40;37.08;18.32;26;0;0;57.00;0
12;0;285546207;12;10;38;38;11.28;0.41;37.08;18.32;26;0;0;58.00;0
14;0;285546237;14;11;38;38;10.04;0.36;38.71;18.32;24;0;0;59.00;0
14;0;285546267;14;13;39;39;9.72;0.35;38.71;17.85;25;0;0;60.00;0
15;0;285546298;15;12;39;39;9.31;0.34;40.00;17.85;24;0;0;61.00;0
16;0;285546329;16;13;40;40;8.37;0.30;40.19;17.43;24;0;0;62.00;0
16;0;285546360;16;12;40;40;8.63;0.31;40.19;17.43;24;0;0;63.00;0
16;0;285546390;16;12;40;40;8.89;0.32;40.19;17.43;24;0;0;64.00;0
16;0;285546420;16;12;40;40;9.08;0.33;40.19;17.43;24;0;0;65.00;0
17;0;285546449;17;8;40;40;8.80;0.32;41.41;17.43;23;0;0;66.00;0
19;0;285546480;19;4;40;40;8.44;0.31;42.32;17.43;21;0;0;67.00;0
21;0;285546510;21;1;40;40;7.78;0.29;42.71;17.43;19;0;0;68.00;0
21;0;285546541;21;0;40;40;8.32;0.31;42.71;17.43;19;0;0;69.00;0
22;0;285546573;22;0;40;40;7.84;0.29;43.14;17.43;18;0;0;70.00;0
22;0;285546604;22;0;40;40;8.31;0.31;43.14;17.43;18;0;0;71.00;0
22;0;285546635;22;0;40;40;8.53;0.32;43.14;17.43;18;0;0;72.00;0
23;0;285546664;23;0;40;40;7.74;0.29;43.74;17.43;17;0;0;73.00;0
23;0;285546695;23;0;40;40;7.76;0.29;43.74;17.43;17;0;0;74.00;0
23;0;285546725;23;0;40;40;7.98;0.30;43.74;17.43;17;0;0;75.00;0
23;0;285546755;23;0;40;40;8.02;0.31;43.74;17.43;17;0;0;76.00;0
23;0;285546786;23;0;40;40;8.14;0.31;43.74;17.43;17;0;0;77.00;0
23;0;285546817;23;0;40;40;8.24;0.32;43.74;17.43;17;0;0;78.00;0
24;0;285546850;24;0;40;40;7.33;0.29;43.75;17.43;16;0;0;79.00;0
24;0;285546879;24;1;40;40;7.45;0.29;43.75;17.43;16;0;0;80.00;0
24;0;285546909;24;1;40;40;7.65;0.30;43.75;17.43;16;0;0;81.00;0
24;0;285546940;24;2;41;41;7.57;0.30;43.75;17.02;17;0;0;82.00;0
25;0;285546972;25;1;41;41;7.88;0.30;44.48;17.02;16;0;0;83.00;0
25;0;285547003;25;1;41;41;8.31;0.32;44.48;17.02;16;0;0;84.00;0
25;0;285547034;25;1;41;41;8.70;0.33;44.48;17.02;16;0;0;85.00;0
26;0;285547064;26;1;41;41;8.22;0.31;44.96;17.02;15;0;0;86.00;0
26;0;285547096;26;1;41;41;8.94;0.34;44.96;17.02;15;0;0;87.00;0
27;0;285547127;27;2;42;42;8.79;0.33;45.19;16.64;15;0;0;88.00;0
28;0;285547158;28;1;42;42;9.12;0.33;45.11;16.64;14;0;0;89.00;0
28;0;285547189;28;1;42;42;9.66;0.35;45.11;16.64;14;0;0;90.00;0
29;0;285547219;29;1;42;42;10.11;0.37;46.24;16.64;13;0;0;91.00;0
29;0;285547249;29;1;42;42;9.91;0.37;46.24;16.64;13;0;0;92.00;0
29;0;285547281;29;1;42;42;9.96;0.37;46.24;16.64;13;0;0;93.00;0
31;0;285547313;31;1;42;42;10.45;0.39;47.32;16.64;11;0;0;94.00;0
31;0;285547342;31;1;42;42;10.66;0.40;47.32;16.64;11;0;0;95.00;0
32;0;285547372;32;2;42;42;11.10;0.42;47.62;16.64;10;0;0;96.00;0
32;0;285547404;32;2;42;42;11.63;0.44;47.62;16.64;10;0;0;97.00;0
34;0;285547434;34;2;42;42;12.52;0.47;48.12;16.64;8;0;0;98.00;0
34;0;285547466;34;2;42;42;12.98;0.49;48.12;16.64;8;0;0;99.00;0
35;0;285547497;35;2;42;42;11.53;0.44;48.54;16.64;7;0;0;100.00;0
